Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20200109|A|199843|369|418630|B,Q,N
20200109|AA|946363|3816|2024862|B,Q,N
20200109|AAAU|1275|0|21021|B,Q,N
20200109|AACG|3919|0|24199|Q,N
20200109|AADR|30821|0|33659|B,Q,N
20200109|AAL|1280204|12350|2414916|B,Q,N
20200109|AAMC|100|0|105|Q
20200109|AAN|56834|0|246287|Q,N
20200109|AAOI|299521|3179|586167|B,Q,N
20200109|AAON|20901|150|23179|B,Q,N
20200109|AAP|151177|300|367533|B,Q,N
20200109|AAPL|8038985|63955|19319099|B,Q,N
20200109|AAT|12284|0|34829|Q,N
20200109|AAU|42731|600|154534|Q,N
20200109|AAWW|27454|0|44794|B,Q,N
20200109|AAXJ|248457|0|1359352|Q,N
20200109|AAXN|57275|0|158982|B,Q,N
20200109|AB|45672|8500|116348|Q,N
20200109|ABB|108598|87|309341|B,Q,N
20200109|ABBV|1682105|3406|2783950|B,Q,N
20200109|ABC|138797|452|249112|B,Q,N
20200109|ABCB|20207|401|45518|Q,N
20200109|ABDC|7458|0|18074|Q,N
20200109|ABEO|568374|7312|990649|B,Q,N
20200109|ABEV|8872223|9973|10983914|Q,N
20200109|ABG|16663|200|78032|B,Q,N
20200109|ABIO|15448|0|41175|B,Q,N
20200109|ABM|26740|0|49485|B,Q,N
20200109|ABMD|125623|0|456675|B,Q,N
20200109|ABR|218153|0|685364|B,Q,N
20200109|ABRpA|1145|0|1170|N
20200109|ABRpC|964|0|1215|Q,N
20200109|ABT|845340|405|2346930|B,Q,N
20200109|ABTX|5409|200|20826|Q
20200109|ABUS|80159|1300|152089|B,Q,N
20200109|AC|455|0|461|Q,N
20200109|ACA|26390|0|39786|B,Q,N
20200109|ACAD|185036|594|499876|Q,N
20200109|ACB|8490124|41594|16518808|B,Q,N
20200109|ACBI|61544|0|73202|Q,N
20200109|ACC|21808|8|66425|Q,N
20200109|ACCO|46775|0|96538|B,Q,N
20200109|ACEL|5549|0|22977|Q,N
20200109|ACER|6875|0|19115|B,Q,N
20200109|ACES|21489|0|39991|Q,N
20200109|ACGL|188898|115|384640|Q,N
20200109|ACGLO|3397|0|4405|Q,N
20200109|ACGLP|2038|0|6478|Q,N
20200109|ACH|4602|0|10390|Q,N
20200109|ACHC|31033|0|105840|B,Q,N
20200109|ACHN|269056|0|900274|Q,N
20200109|ACHV|1147274|13200|2208416|Q,N
20200109|ACIA|34228|0|104122|Q,N
20200109|ACIO|25842|0|29166|Q,N
20200109|ACIU|15986|0|49164|Q,N
20200109|ACIW|26608|0|114215|B,Q,N
20200109|ACLS|9252|0|24030|B,Q,N
20200109|ACM|248342|1425|729593|B,Q,N
20200109|ACMR|55160|0|217344|B,Q,N
20200109|ACN|199775|494|599683|B,Q,N
20200109|ACNB|13|0|394|Q
20200109|ACOR|396275|100|774161|B,Q,N
20200109|ACP|19061|400|94260|Q,N
20200109|ACRE|188222|2357|215524|Q,N
20200109|ACRS|34849|0|188146|B,Q,N
20200109|ACRX|213203|9768|483888|B,Q,N
20200109|ACSI|352|0|662|Q
20200109|ACST|661864|7780|1135013|B,Q,N
20200109|ACT|141|0|404|Q,N
20200109|ACTG|21645|0|39468|Q,N
20200109|ACTT|100000|0|625993|Q
20200109|ACTTU|13|0|13|N
20200109|ACU|917|0|2768|Q
20200109|ACV|7860|0|24277|Q,N
20200109|ACWF|969|0|1775|Q,N
20200109|ACWI|85279|300|394035|Q,N
20200109|ACWV|154101|0|256991|Q,N
20200109|ACWX|31490|0|457138|Q,N
20200109|ADAP|169108|200|260600|B,Q,N
20200109|ADBE|199504|676|454782|B,Q,N
20200109|ADC|23113|0|238315|B,Q,N
20200109|ADES|19178|0|42915|Q,N
20200109|ADI|143474|0|323958|Q,N
20200109|ADIL|27084|0|55162|Q,N
20200109|ADM|520058|193|922859|B,Q,N
20200109|ADMA|684286|2450|1498131|B,Q,N
20200109|ADME|5966|0|22634|B,Q
20200109|ADMP|157497|5921|344536|Q,N
20200109|ADMS|180831|400|568285|B,Q,N
20200109|ADNT|166760|4900|276188|B,Q,N
20200109|ADP|84193|300|284561|B,Q,N
20200109|ADPT|70241|251|233017|B,Q,N
20200109|ADRD|8350|0|167017|Q
20200109|ADRE|4600|0|7718|Q,N
20200109|ADRO|104836|4200|275481|B,Q,N
20200109|ADS|42058|300|140508|B,Q,N
20200109|ADSK|79989|298|329816|B,Q,N
20200109|ADSW|109912|0|124570|Q,N
20200109|ADT|593028|1620|778280|B,Q,N
20200109|ADTN|7617|0|27471|Q,N
20200109|ADUS|5873|0|10799|B,Q,N
20200109|ADVM|47151|0|404795|B,Q,N
20200109|ADX|36320|532|102671|Q,N
20200109|ADXS|1349462|201669|3018970|B,Q,N
20200109|AE|643|0|1367|Q,N
20200109|AEB|17639|0|25282|Q,N
20200109|AEE|33890|8044|383134|B,Q,N
20200109|AEF|11673|0|26602|Q,N
20200109|AEFC|27861|6300|150391|B,Q,N
20200109|AEG|201505|719|313211|Q,N
20200109|AEGN|5377|0|20446|Q
20200109|AEHR|154945|993|262266|B,Q,N
20200109|AEIS|22646|74|37053|B,Q,N
20200109|AEL|40535|800|110063|B,Q,N
20200109|AELpA|8534|0|136082|Q,N
20200109|AEM|86233|0|277318|B,Q,N
20200109|AEMD|194971|5807|382028|B,Q,N
20200109|AEO|1415975|2900|2116767|B,Q,N
20200109|AEP|537900|961|842883|B,Q,N
20200109|AEPpB|180456|0|203629|Q,N
20200109|AER|41245|162|204057|B,Q,N
20200109|AERI|739261|0|1103318|B,Q,N
20200109|AES|396591|400|711197|B,Q,N
