Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20200106|A|140749|952|425920|B,Q,N
20200106|AA|558974|730|1172489|B,Q,N
20200106|AAAU|17693|0|38493|B,Q,N
20200106|AACG|3546|0|11849|Q,N
20200106|AADR|62139|0|70887|Q
20200106|AAL|1575475|1403|2366511|B,Q,N
20200106|AAMC|400|0|1138|N
20200106|AAME|300|0|1200|Q
20200106|AAN|49321|8|205030|B,Q,N
20200106|AAOI|51052|0|145186|B,Q,N
20200106|AAON|6176|0|18048|B,Q,N
20200106|AAP|120079|0|199502|B,Q,N
20200106|AAPL|4992494|53964|14321157|B,Q,N
20200106|AAT|47789|0|99268|Q,N
20200106|AAU|74009|0|135198|Q,N
20200106|AAWW|27345|0|52909|Q,N
20200106|AAXJ|28144|0|119940|Q,N
20200106|AAXN|346583|39070|690442|B,Q,N
20200106|AB|25161|0|78803|Q,N
20200106|ABB|284570|2100|555737|B,Q,N
20200106|ABBV|1003240|2641|2515117|B,Q,N
20200106|ABC|112981|0|197544|Q,N
20200106|ABCB|39490|57|58735|Q,N
20200106|ABDC|2631|0|9297|Q,N
20200106|ABEO|481125|9091|1103876|B,Q,N
20200106|ABEV|1397012|4083|3419457|Q,N
20200106|ABG|12994|0|26922|B,Q,N
20200106|ABIO|10535|0|18580|Q,N
20200106|ABM|29757|61|75520|Q,N
20200106|ABMD|266918|1120|459322|B,Q,N
20200106|ABR|75852|0|347491|B,Q,N
20200106|ABRpA|620|0|1499|Q
20200106|ABRpB|3|0|3|N
20200106|ABRpC|14495|0|14495|N
20200106|ABT|634457|1863|1970834|B,Q,N
20200106|ABTX|7014|0|12912|Q,N
20200106|ABUS|169460|100|915011|B,Q,N
20200106|AC|538|0|640|Q,N
20200106|ACA|21075|1684|66098|B,Q,N
20200106|ACAD|216742|415|527778|B,Q,N
20200106|ACB|11562399|394067|18463015|B,Q,N
20200106|ACBI|328|0|9839|Q,N
20200106|ACC|17768|0|184307|B,Q,N
20200106|ACCO|50196|0|288994|B,Q,N
20200106|ACEL|12972|0|65975|Q,N
20200106|ACER|2347|0|8814|B,Q,N
20200106|ACES|2471|0|10009|Q,N
20200106|ACGL|162543|617|251054|Q,N
20200106|ACGLO|4688|31|6591|Q,N
20200106|ACGLP|16248|3600|40311|Q,N
20200106|ACH|16799|0|21830|Q,N
20200106|ACHC|85814|0|186328|B,Q,N
20200106|ACHN|511067|3100|1243424|Q,N
20200106|ACHV|1348314|6100|2154095|Q,N
20200106|ACIA|14881|0|46355|Q,N
20200106|ACIO|9011|0|9277|Q,N
20200106|ACIU|25248|0|35671|Q,N
20200106|ACIW|20786|0|45727|B,Q,N
20200106|ACLS|8042|0|26196|Q,N
20200106|ACM|21041|119|107969|Q,N
20200106|ACMR|98363|2500|180173|B,Q,N
20200106|ACN|143271|511|565425|B,Q,N
20200106|ACNB|443|0|2419|Q,N
20200106|ACOR|1301093|17050|2587585|B,Q,N
20200106|ACP|18626|1011|40013|Q,N
20200106|ACRE|23737|0|70123|Q,N
20200106|ACRS|30152|300|94994|B,Q,N
20200106|ACRX|110989|1225|258678|B,Q,N
20200106|ACSI|767|0|1389|Q,N
20200106|ACST|622767|5176|1145037|B,Q,N
20200106|ACT|81|0|675|Q,N
20200106|ACTG|20385|0|78933|Q,N
20200106|ACU|8094|0|12493|B,Q,N
20200106|ACV|15385|0|25295|Q,N
20200106|ACWF|3993|0|6571|Q,N
20200106|ACWI|161705|40000|1024855|B,Q,N
20200106|ACWV|51791|0|281260|B,Q,N
20200106|ACWX|27519|2000|827552|Q,N
20200106|ACY|715|0|2763|B,Q
20200106|ADAP|65269|3904|98341|Q,N
20200106|ADBE|157979|422|409348|B,Q,N
20200106|ADC|21779|0|87488|Q,N
20200106|ADES|72670|0|110749|B,Q,N
20200106|ADI|133200|1318|318716|B,Q,N
20200106|ADIL|2669|1508|8666|Q,N
20200106|ADM|195656|1910|579926|B,Q,N
20200106|ADMA|168719|700|302228|B,Q,N
20200106|ADME|6143|0|7934|Q,N
20200106|ADMP|687125|1241|1589614|Q,N
20200106|ADMS|41419|1276|155001|B,Q,N
20200106|ADNT|155502|2|256385|B,Q,N
20200106|ADP|85440|422|209870|B,Q,N
20200106|ADPT|107601|1100|220544|B,Q,N
20200106|ADRA|1|0|1708|Q
20200106|ADRD|237|0|9529|Q
