Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20200108|A|260|0|272|B
20200108|AA|1420|0|1903|B
20200108|AAAU|2|0|152|B
20200108|AAL|4241|0|17379|B
20200108|AAN|303|0|475|B
20200108|AAOI|2243|0|3339|B
20200108|AAON|100|0|300|B
20200108|AAP|92|0|292|B
20200108|AAPL|51992|0|111685|B
20200108|AAXN|100|0|200|B
20200108|AB|2|0|217|B
20200108|ABB|11|0|93|B
20200108|ABBV|2594|0|3565|B
20200108|ABC|7|0|507|B
20200108|ABCB|30|0|130|B
20200108|ABEO|3100|0|3180|B
20200108|ABEV|115|0|115|B
20200108|ABIO|100|0|1200|B
20200108|ABMD|72|0|130|B
20200108|ABR|300|0|3500|B
20200108|ABT|585|0|1126|B
20200108|ABUS|600|0|600|B
20200108|AC|100|0|100|B
20200108|ACA|2190|0|2190|B
20200108|ACAD|474|0|1784|B
20200108|ACB|35157|0|87083|B
20200108|ACBI|1|0|101|B
20200108|ACCO|400|0|400|B
20200108|ACGL|25|0|175|B
20200108|ACHN|1|0|201|B
20200108|ACIU|455|0|505|B
20200108|ACIW|130|0|230|B
20200108|ACMR|6611|0|14291|B
20200108|ACN|1281|0|1913|B
20200108|ACOR|5650|0|19234|B
20200108|ACRE|115|0|115|B
20200108|ACST|2396|0|2796|B
20200108|ACWX|1330|0|1330|B
20200108|ACY|200|0|200|B
20200108|ADBE|4688|0|6044|B
20200108|ADES|128|0|128|B
20200108|ADI|446|0|760|B
20200108|ADM|471|0|6908|B
20200108|ADMS|5772|0|12805|B
20200108|ADNT|1652|0|2722|B
20200108|ADP|279|0|570|B
20200108|ADPT|400|0|2515|B
20200108|ADS|2279|0|2279|B
20200108|ADSK|351|0|1079|B
20200108|ADT|3900|0|4265|B
20200108|ADUS|200|0|300|B
20200108|ADVM|560|0|560|B
20200108|ADXS|13790|0|17730|B
20200108|AEE|100|0|219|B
20200108|AEIS|100|0|100|B
20200108|AEM|210|0|1603|B
20200108|AEMD|1400|0|7793|B
20200108|AEO|1900|0|3220|B
20200108|AEP|463|0|863|B
20200108|AER|375|0|475|B
20200108|AERI|482|0|682|B
20200108|AES|2220|0|2822|B
20200108|AFI|100|0|100|B
20200108|AFK|52|0|132|B
20200108|AFL|35|0|245|B
20200108|AFMD|100|0|900|B
20200108|AFYA|100|0|100|B
20200108|AG|16458|0|32151|B
20200108|AGD|47|0|47|B
20200108|AGG|1466|0|2694|B
20200108|AGI|2100|0|13285|B
20200108|AGMH|100|0|100|B
20200108|AGMpD|7|0|7|B
20200108|AGN|974|0|975|B
20200108|AGNC|11493|0|11790|B
20200108|AGO|1|0|1|B
20200108|AGR|400|0|400|B
20200108|AGRX|3588|0|4788|B
20200108|AHLpE|100|0|1066|B
20200108|AHT|300|0|300|B
