Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20200103|A|2|0|391|B
20200103|AA|2384|0|2734|B
20200103|AAAU|49|0|49|B
20200103|AAL|18285|0|28166|B
20200103|AAOI|500|0|600|B
20200103|AAP|14|0|214|B
20200103|AAPL|50473|0|98569|B
20200103|AAU|60|0|60|B
20200103|AAWW|60|0|220|B
20200103|AAXN|925|0|4777|B
20200103|ABBV|317|0|3220|B
20200103|ABEO|1150|0|2100|B
20200103|ABM|1700|0|1700|B
20200103|ABMD|286|0|486|B
20200103|ABR|125|0|197|B
20200103|ABT|2367|0|2714|B
20200103|ABUS|300|0|730|B
20200103|ACAD|225|0|1895|B
20200103|ACB|20361|0|50954|B
20200103|ACGL|1600|0|1777|B
20200103|ACGLP|500|0|500|B
20200103|ACH|100|0|100|B
20200103|ACHN|5998|0|6098|B
20200103|ACIU|1400|0|1400|B
20200103|ACMR|20|0|20|B
20200103|ACN|397|0|676|B
20200103|ACOR|21735|0|37171|B
20200103|ACRS|500|0|600|B
20200103|ACRX|50|0|250|B
20200103|ACST|5000|0|9600|B
20200103|ACWI|150|0|370|B
20200103|ACWV|7|0|7|B
20200103|ACY|1600|0|1600|B
20200103|ADBE|3087|0|4020|B
20200103|ADES|100|0|402|B
20200103|ADM|148|0|379|B
20200103|ADMA|2200|0|2300|B
20200103|ADMS|201|0|4082|B
20200103|ADNT|119|0|326|B
20200103|ADP|213|0|653|B
20200103|ADPT|100|0|300|B
20200103|ADRO|2925|0|3125|B
20200103|ADS|6517|0|7222|B
20200103|ADSK|228|0|323|B
20200103|ADVM|170|0|270|B
20200103|ADX|889|0|890|B
20200103|ADXS|4151|0|11051|B
20200103|AE|1500|0|1500|B
20200103|AEG|3915|0|3915|B
20200103|AEM|2593|0|4720|B
20200103|AEMD|423|0|6223|B
20200103|AEO|24|0|824|B
20200103|AEP|100|0|344|B
20200103|AER|550|0|670|B
20200103|AERI|2300|0|2500|B
20200103|AES|549|0|649|B
20200103|AESE|300|0|300|B
20200103|AFK|225|0|235|B
20200103|AFL|10|0|487|B
20200103|AG|6197|0|9574|B
20200103|AGE|1600|0|1600|B
20200103|AGG|75|0|181|B
20200103|AGI|2000|0|2151|B
20200103|AGM|100|0|100|B
20200103|AGN|217|0|217|B
20200103|AGNC|193|0|220|B
20200103|AGO|100|0|280|B
20200103|AGQ|100|0|1504|B
20200103|AGRO|4|0|4|B
20200103|AGTC|400|0|1400|B
20200103|AI|300|0|380|B
20200103|AIG|20|0|337|B
20200103|AIMC|8|0|8|B
20200103|AIRI|300|0|1200|B
20200103|AIZ|1|0|1|B
20200103|AJG|124|0|798|B
20200103|AJRD|30|0|2965|B
20200103|AKAM|44|0|138|B
20200103|AKER|1469|0|4015|B
20200103|AKG|1000|0|1000|B
20200103|AKO/A|300|0|300|B
20200103|AKRO|9|0|9|B
20200103|AKRX|2600|0|3419|B
20200103|ALB|830|0|1520|B
20200103|ALC|1100|0|1100|B
20200103|ALGN|300|0|392|B
20200103|ALIM|400|0|400|B
20200103|ALKS|300|0|304|B
20200103|ALL|75|0|275|B
20200103|ALLE|33|0|33|B
20200103|ALLK|750|0|750|B
20200103|ALLYpA|300|0|300|B
20200103|ALLpH|700|0|700|B
20200103|ALNY|700|0|750|B
20200103|ALO|400|0|400|B
20200103|ALRM|26|0|28|B
20200103|ALSN|258|0|458|B
20200103|ALV|114|0|114|B
20200103|ALXN|195|0|1171|B
20200103|AM|1191|0|4891|B
20200103|AMAT|956|0|3325|B
20200103|AMC|1130|0|1942|B
20200103|AMCR|572|0|672|B
20200103|AMCX|420|0|435|B
20200103|AMD|96347|0|265743|B
20200103|AME|1812|0|3524|B
20200103|AMED|70|0|170|B
20200103|AMGN|347|0|1039|B
20200103|AMH|40|0|40|B
20200103|AMK|33|0|33|B
20200103|AMLP|2300|0|2300|B
20200103|AMN|55|0|110|B
20200103|AMP|1|0|55|B
20200103|AMRN|2060|0|5560|B
20200103|AMRX|300|0|2500|B
20200103|AMSF|800|0|800|B
20200103|AMT|394|0|806|B
20200103|AMTD|2|0|102|B
20200103|AMZA|4697|0|4698|B
20200103|AMZN|4463|0|15178|B
20200103|AN|600|0|1000|B
20200103|ANAB|100|0|230|B
20200103|ANAT|60|0|60|B
20200103|ANDE|100|0|103|B
20200103|ANET|755|0|799|B
20200103|ANF|500|0|800|B
20200103|ANGI|500|0|500|B
20200103|ANGL|87|0|487|B
20200103|ANH|400|0|400|B
20200103|ANSS|15|0|131|B
20200103|ANTM|181|0|283|B
20200103|AOBC|381|0|4679|B
20200103|AOM|2|0|2|B
20200103|AON|1212|0|1683|B
20200103|AOS|1600|0|1801|B
20200103|APA|720|0|6537|B
20200103|APAM|499|0|499|B
20200103|APD|99|0|269|B
20200103|APDN|100|0|600|B
20200103|APHA|10170|0|12475|B
20200103|APLT|40|0|450|B
20200103|APO|851|0|1801|B
20200103|APPF|13|0|13|B
20200103|APPS|1979|0|2279|B
20200103|APTO|2|0|1756|B
20200103|APTV|218|0|345|B
20200103|APTX|600|0|600|B
20200103|APY|100|0|100|B
20200103|AQB|200|0|200|B
20200103|AQUA|300|0|300|B
20200103|AR|3192|0|4492|B
20200103|ARCC|504|0|504|B
20200103|ARCE|150|0|250|B
20200103|ARCO|6|0|44|B
20200103|ARDS|200|0|200|B
20200103|ARE|522|0|652|B
