Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20200102|A|89887|378|260637|Q
20200102|AA|256944|500|770392|Q
20200102|AAAU|13436|0|17598|Q
20200102|AACG|35|0|2817|Q
20200102|AADR|120|0|5985|Q
20200102|AAL|813839|4080|1186658|Q
20200102|AAN|51883|211|131481|Q
20200102|AAOI|87410|298|181939|Q
20200102|AAON|9159|0|21635|Q
20200102|AAP|147444|0|227901|Q
20200102|AAPL|4458298|69855|8462987|Q
20200102|AAT|17028|10|36025|Q
20200102|AAU|32233|0|94758|Q
20200102|AAWW|26875|0|58094|Q
20200102|AAXJ|199117|5100|315943|Q
20200102|AAXN|95739|0|269611|Q
20200102|AB|16236|1998|61696|Q
20200102|ABB|145580|850|287708|Q
20200102|ABBV|521911|7363|1279599|Q
20200102|ABC|139221|0|205977|Q
20200102|ABCB|54166|100|65382|Q
20200102|ABDC|3993|0|4862|Q
20200102|ABEO|240897|790|536789|Q
20200102|ABEV|2321325|4400|3082638|Q
20200102|ABG|9699|0|23694|Q
20200102|ABIO|1300|0|5275|Q
20200102|ABM|33208|0|86880|Q
20200102|ABMD|88212|0|187409|Q
20200102|ABR|71601|1517|499479|Q
20200102|ABRpA|58|0|58|Q
20200102|ABRpB|3282|0|3604|Q
20200102|ABRpC|30|0|30|Q
20200102|ABT|572302|442|1171464|Q
20200102|ABTX|4167|0|10379|Q
20200102|ABUS|87656|230|154045|Q
20200102|AC|270|0|945|Q
20200102|ACA|76158|400|129862|Q
20200102|ACAD|168397|1700|750410|Q
20200102|ACB|5619859|42108|10094519|Q
20200102|ACBI|501|0|6216|Q
20200102|ACC|31035|2|70425|Q
20200102|ACCO|43404|0|130740|Q
20200102|ACEL|11532|0|16585|Q
20200102|ACEL/WS|4700|0|4700|Q
20200102|ACER|5284|2173|10951|Q
20200102|ACES|2053|0|8174|Q
20200102|ACGL|179636|0|341892|Q
20200102|ACGLO|1571|0|4920|Q
20200102|ACGLP|3672|0|10798|Q
20200102|ACH|2723|0|14763|Q
20200102|ACHC|49486|100|79116|Q
20200102|ACHN|989726|0|1270249|Q
20200102|ACHV|191621|5500|291194|Q
20200102|ACIA|190838|0|247286|Q
20200102|ACIO|2061|0|2553|Q
20200102|ACIU|21566|0|44762|Q
20200102|ACIW|19366|0|57849|Q
20200102|ACLS|9116|807|39951|Q
20200102|ACM|28156|100|148974|Q
20200102|ACMR|20965|0|50149|Q
20200102|ACN|164809|590|623661|Q
20200102|ACNB|529|0|2830|Q
20200102|ACOR|330270|6618|834309|Q
20200102|ACP|37218|300|130414|Q
20200102|ACRE|13987|32|75109|Q
20200102|ACRS|82597|14|267065|Q
20200102|ACRX|124968|150|199483|Q
20200102|ACSI|1116|0|1368|Q
20200102|ACST|465925|24815|889652|Q
20200102|ACT|8|0|958|Q
20200102|ACTG|8402|0|22839|Q
20200102|ACTT|100|0|200100|Q
20200102|ACU|569|0|590|Q
20200102|ACV|14408|100|32197|Q
20200102|ACWF|1845|0|2885|Q
20200102|ACWI|372921|10130|639321|Q
20200102|ACWV|47345|0|196086|Q
20200102|ACWX|297955|0|882079|Q
20200102|ACY|2205|0|6903|Q
20200102|ADAP|59892|0|76830|Q
20200102|ADBE|125017|817|333824|Q
20200102|ADC|35201|0|126392|Q
20200102|ADES|26540|385|64026|Q
20200102|ADI|75263|300|207841|Q
20200102|ADIL|18389|0|33763|Q
20200102|ADM|262450|900|536364|Q
20200102|ADMA|116078|1000|196711|Q
