Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20200103|A|81567|74|251797|Q
20200103|AA|269703|3660|901361|Q
20200103|AAAU|12695|0|17701|Q
20200103|AACG|1920|0|17464|Q
20200103|AADR|770|0|7975|Q
20200103|AAL|2742182|12080|3898280|Q
20200103|AAME|304|200|1081|Q
20200103|AAN|38711|200|134357|Q
20200103|AAOI|53460|300|98818|Q
20200103|AAON|15090|0|24212|Q
20200103|AAP|94225|0|154237|Q
20200103|AAPL|4264073|78137|8168113|Q
20200103|AAT|12508|0|32771|Q
20200103|AAU|35392|3320|81685|Q
20200103|AAWW|35971|104|66598|Q
20200103|AAXJ|78685|0|166798|Q
20200103|AAXN|469389|3146|901571|Q
20200103|AB|14977|0|73042|Q
20200103|ABB|145586|750|270611|Q
20200103|ABBV|421900|5542|1454330|Q
20200103|ABC|131373|0|199620|Q
20200103|ABCB|57311|6|74271|Q
20200103|ABDC|2807|0|9949|Q
20200103|ABEO|371740|4376|845390|Q
20200103|ABEV|1197946|5000|1940262|Q
20200103|ABG|12394|0|32357|Q
20200103|ABIO|1946|0|2363|Q
20200103|ABM|23162|359|40246|Q
20200103|ABMD|103513|0|228078|Q
20200103|ABR|28966|900|224083|Q
20200103|ABRpA|2421|0|2562|Q
20200103|ABRpB|2334|0|2967|Q
20200103|ABT|501036|300|1414301|Q
20200103|ABTX|9069|0|14424|Q
20200103|ABUS|131427|256|1896104|Q
20200103|AC|259|0|767|Q
20200103|ACA|32191|150|49937|Q
20200103|ACAD|140099|2923|696030|Q
20200103|ACB|3575784|63847|5660008|Q
20200103|ACBI|1705|0|14771|Q
20200103|ACC|38161|3|137266|Q
20200103|ACCO|17647|0|89303|Q
20200103|ACEL|4853|0|10554|Q
20200103|ACEL/WS|200|0|200|Q
20200103|ACER|3884|0|35894|Q
20200103|ACES|3811|0|6079|Q
20200103|ACGL|98289|0|173020|Q
20200103|ACGLO|1085|0|4299|Q
20200103|ACGLP|7744|107|14669|Q
20200103|ACH|4390|0|16335|Q
20200103|ACHC|29763|0|98076|Q
20200103|ACHN|236474|0|413650|Q
20200103|ACHV|499540|20498|883502|Q
20200103|ACIA|3487|0|22558|Q
20200103|ACIO|6806|0|6883|Q
20200103|ACIU|40254|341|93127|Q
20200103|ACIW|57323|4|96144|Q
20200103|ACLS|12426|0|30203|Q
20200103|ACM|28705|37|126566|Q
20200103|ACMR|14217|0|25530|Q
20200103|ACN|160560|77|350616|Q
20200103|ACNB|319|0|544|Q
20200103|ACOR|2129063|29267|3699695|Q
20200103|ACP|31103|0|52916|Q
20200103|ACRE|28247|0|70638|Q
20200103|ACRS|79453|0|125371|Q
20200103|ACRX|82988|0|175730|Q
20200103|ACSI|274|0|274|Q
20200103|ACST|238128|20079|471337|Q
20200103|ACT|201|0|835|Q
20200103|ACTG|3112|0|11375|Q
20200103|ACU|1601|0|3170|Q
20200103|ACV|4406|0|10954|Q
20200103|ACWF|385|0|1488|Q
20200103|ACWI|96455|190|288244|Q
20200103|ACWV|61314|0|136374|Q
20200103|ACWX|36709|0|636623|Q
20200103|ACY|2926|0|10132|Q
20200103|ADAP|23486|0|79108|Q
20200103|ADBE|79033|914|263420|Q
20200103|ADC|26331|0|70657|Q
20200103|ADES|26871|100|84241|Q
20200103|ADI|59711|16|187032|Q
20200103|ADIL|5986|100|10672|Q
20200103|ADM|113786|0|329315|Q
20200103|ADMA|161189|1100|217936|Q
20200103|ADME|66|0|3994|Q
20200103|ADMP|288130|16400|629484|Q
20200103|ADMS|56157|300|144255|Q
20200103|ADNT|530893|1396|697457|Q
20200103|ADP|105637|868|218182|Q
20200103|ADPT|110573|200|224880|Q
20200103|ADRA|300|0|304|Q
20200103|ADRE|765|0|1422|Q
20200103|ADRO|134049|100|234443|Q
20200103|ADS|39338|307|104865|Q
20200103|ADSK|49346|290|142524|Q
20200103|ADSW|67963|0|100288|Q
20200103|ADT|300374|919|482014|Q
20200103|ADTN|6493|0|44913|Q
20200103|ADUS|5017|0|18702|Q
20200103|ADVM|65496|0|107371|Q
20200103|ADX|28105|0|63207|Q
20200103|ADXS|2197212|84849|3695886|Q
20200103|AE|1616|0|3122|Q
20200103|AEB|2232|2100|8845|Q
20200103|AEE|71493|0|201763|Q
20200103|AEF|12724|0|26216|Q
20200103|AEFC|3329|1600|28478|Q
20200103|AEG|249859|0|378247|Q
20200103|AEGN|6693|0|15913|Q
20200103|AEHR|6611|1000|55978|Q
20200103|AEIS|27846|16|42648|Q
20200103|AEL|32420|7047|88764|Q
20200103|AELpA|10782|0|23685|Q
20200103|AEM|147678|0|211652|Q
20200103|AEMD|159185|34942|284044|Q
20200103|AEO|434666|0|799880|Q
20200103|AEP|97525|0|215514|Q
20200103|AEPpB|4515|0|4515|Q
20200103|AER|33981|0|89038|Q
20200103|AERI|138923|0|267364|Q
20200103|AES|409663|53|1218591|Q
20200103|AESE|976|0|3711|Q
20200103|AESR|2500|0|2500|Q
20200103|AEY|7842|0|10639|Q
20200103|AEYE|3110|0|7281|Q
20200103|AEZS|22931|1732|72568|Q
20200103|AFB|4615|0|10052|Q
20200103|AFC|949|0|2780|Q
20200103|AFG|27301|100|40202|Q
20200103|AFGB|4371|0|5455|Q
20200103|AFGC|14732|0|51036|Q
20200103|AFGH|1669|0|3548|Q
20200103|AFH|220|0|26755|Q
20200103|AFI|4664|0|6989|Q
20200103|AFIF|7250|0|11513|Q
20200103|AFIN|114289|1661|199207|Q
20200103|AFINP|6361|0|17743|Q
20200103|AFK|2091|0|4015|Q
20200103|AFL|197237|0|377905|Q
20200103|AFLG|25|0|25|Q
20200103|AFMC|25|0|25|Q
20200103|AFMD|37484|0|208859|Q
20200103|AFSM|3|0|28|Q
20200103|AFT|10728|110|15249|Q
20200103|AFYA|5714|0|13376|Q
20200103|AG|378041|1205|847290|Q
20200103|AGCO|29547|0|55071|Q
20200103|AGD|4697|0|13138|Q
20200103|AGE|21713|0|40988|Q
20200103|AGEN|141004|478|214933|Q
20200103|AGFS|2339|0|7481|Q
20200103|AGFSW|2200|0|2300|Q
20200103|AGG|1209531|729|1776675|Q
20200103|AGGP|2|0|1487|Q
20200103|AGGY|92118|0|111326|Q
20200103|AGI|275677|2477|503865|Q
20200103|AGIO|43140|0|67209|Q
20200103|AGLE|406|0|1434|Q
20200103|AGM|3059|0|7171|Q
20200103|AGMH|401|0|1249|Q
20200103|AGMpA|82|0|82|Q
20200103|AGMpC|531|0|531|Q
20200103|AGMpD|352|0|2403|Q
20200103|AGN|48934|120|240736|Q
20200103|AGNC|288775|0|624828|Q
20200103|AGNCM|2463|0|7247|Q
20200103|AGNCN|2137|0|8115|Q
20200103|AGNCO|3867|0|7159|Q
20200103|AGND|45|0|247|Q
20200103|AGO|12792|0|52258|Q
20200103|AGOpB|263|0|471|Q
20200103|AGOpE|3292|1284|5606|Q
20200103|AGOpF|1867|97|5324|Q
20200103|AGQ|159450|25500|290205|Q
20200103|AGR|37123|374|59309|Q
20200103|AGRO|15828|0|476947|Q
20200103|AGRX|458587|16115|699896|Q
20200103|AGS|9625|0|18193|Q
20200103|AGT|9|0|655|Q
20200103|AGTC|34595|200|63957|Q
20200103|AGX|13807|100|18370|Q
20200103|AGYS|3437|0|12386|Q
20200103|AGZ|1424|46|8837|Q
20200103|AHC|4028|0|21944|Q
20200103|AHCO|1165|0|5218|Q
20200103|AHH|12153|0|26260|Q
20200103|AHHpA|750|0|850|Q
20200103|AHLpC|1102|0|6437|Q
20200103|AHLpD|3039|0|10702|Q
20200103|AHLpE|1428|0|6563|Q
20200103|AHPI|3098|0|10990|Q
20200103|AHT|32492|0|76049|Q
20200103|AHTpD|1159|119|1367|Q
20200103|AHTpF|5084|1600|9169|Q
20200103|AHTpG|3839|500|4965|Q
20200103|AHTpH|1900|0|1916|Q
20200103|AHTpI|2033|0|4514|Q
20200103|AI|19396|0|63621|Q
20200103|AIA|520027|0|550869|Q
20200103|AIEQ|381|0|21802|Q
20200103|AIF|20431|0|39530|Q
20200103|AIG|181837|100|520464|Q
20200103|AIG/WS|9232|0|12645|Q
20200103|AIGpA|8350|500|13259|Q
20200103|AIH|10089|0|27979|Q
20200103|AIHS|40821|1200|62100|Q
20200103|AIIQ|111|0|233|Q
20200103|AIM|172138|14567|274806|Q
20200103|AIMC|36427|400|145997|Q
20200103|AIMT|97101|12450|221291|Q
20200103|AIN|13082|400|58108|Q
20200103|AINC|7|0|22|Q
20200103|AINV|51591|1006|128387|Q
20200103|AIO|6974|0|14074|Q
20200103|AIQ|152|0|3506|Q
20200103|AIR|14420|0|39557|Q
20200103|AIRG|3689|0|7456|Q
20200103|AIRI|55756|8675|139468|Q
20200103|AIRR|174|0|40463|Q
20200103|AIRTP|1700|0|8620|Q
20200103|AIT|4622|0|13170|Q
20200103|AIV|104616|0|140702|Q
20200103|AIW|925|0|1345|Q
20200103|AIZ|29133|0|47746|Q
20200103|AIZP|7230|0|7230|Q
20200103|AIpC|100|0|100|Q
20200103|AJG|31918|0|135910|Q
20200103|AJRD|154861|0|206410|Q
