Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20200103|A|7375|0|14465|N
20200103|AA|135230|138|224180|N
20200103|AAAU|7795|0|9339|N
20200103|AACG|7576|0|18477|N
20200103|AADR|25|0|627|N
20200103|AAL|1296732|2320|1798425|N
20200103|AAMC|100|0|702|N
20200103|AAN|3047|0|6424|N
20200103|AAOI|13187|0|31254|N
20200103|AAON|477|0|1515|N
20200103|AAP|3911|0|8079|N
20200103|AAPL|3206629|1915|7388830|N
20200103|AAT|120|0|3966|N
20200103|AAU|13506|0|79351|N
20200103|AAWW|1336|0|2273|N
20200103|AAXJ|3673|0|15174|N
20200103|AAXN|67378|1557|124193|N
20200103|AB|7611|0|17283|N
20200103|ABB|4850|0|17166|N
20200103|ABBV|111895|0|358519|N
20200103|ABC|16555|0|28205|N
20200103|ABCB|613|0|2691|N
20200103|ABDC|599|0|2242|N
20200103|ABEO|135748|3016|206736|N
20200103|ABEV|343386|0|540646|N
20200103|ABG|2450|0|4712|N
20200103|ABIO|998|0|2551|N
20200103|ABM|346|0|1373|N
20200103|ABMD|25288|0|38152|N
20200103|ABR|8100|0|80244|N
20200103|ABRpA|1000|0|1400|N
20200103|ABRpC|800|0|810|N
20200103|ABT|42046|199|123791|N
20200103|ABTX|82|0|82|N
20200103|ABUS|50933|0|130441|N
20200103|AC|100|0|100|N
20200103|ACA|7241|0|11089|N
20200103|ACAD|34819|0|83590|N
20200103|ACB|2558582|196892|4335883|N
20200103|ACC|3155|0|11126|N
20200103|ACCO|5096|0|26179|N
20200103|ACEL|43|0|163|N
20200103|ACER|1833|0|11085|N
20200103|ACES|800|0|1485|N
20200103|ACGL|7899|0|17428|N
20200103|ACGLO|373|0|609|N
20200103|ACGLP|388|0|5389|N
20200103|ACHC|1059|0|1121|N
20200103|ACHN|13641|0|45571|N
20200103|ACHV|803036|3800|1475885|N
20200103|ACIA|727|0|4529|N
20200103|ACIO|5742|0|5792|N
20200103|ACIU|5337|0|58068|N
20200103|ACIW|2126|0|6817|N
20200103|ACLS|940|0|3540|N
20200103|ACM|3338|0|11628|N
20200103|ACMR|1640|0|8016|N
20200103|ACN|11534|0|30467|N
20200103|ACNB|1656|0|1656|N
20200103|ACOR|2052009|24795|3507900|N
20200103|ACP|5822|0|19303|N
20200103|ACRE|4269|0|16436|N
20200103|ACRS|63027|2022|96910|N
20200103|ACRX|59309|0|269895|N
20200103|ACSI|481|0|1206|N
20200103|ACST|167424|1646|380889|N
20200103|ACTG|2155|0|3257|N
20200103|ACU|12|0|169|N
20200103|ACV|2305|0|5260|N
20200103|ACWF|1250|0|2032|N
20200103|ACWI|18399|0|46698|N
20200103|ACWV|27247|0|55577|N
20200103|ACWX|2457|0|16862|N
20200103|ACY|11|0|622|N
20200103|ADAP|6377|0|24866|N
20200103|ADBE|11428|0|64028|N
20200103|ADC|1785|0|2946|N
20200103|ADES|36140|0|48197|N
20200103|ADI|6509|34|13600|N
20200103|ADIL|2317|0|16959|N
20200103|ADM|28998|0|57426|N
20200103|ADMA|46810|226|94241|N
20200103|ADME|231|0|486|N
20200103|ADMP|175343|0|462896|N
20200103|ADMS|7114|0|69962|N
20200103|ADNT|69531|0|82031|N
20200103|ADP|9056|0|22935|N
20200103|ADPT|7820|0|22549|N
20200103|ADRE|497|0|1467|N
20200103|ADRO|27026|0|111453|N
20200103|ADS|9600|0|18362|N
20200103|ADSK|8604|0|36331|N
20200103|ADSW|5175|0|5175|N
20200103|ADT|91769|0|109617|N
20200103|ADTN|2594|0|3744|N
20200103|ADUS|618|0|3261|N
20200103|ADVM|10426|0|28358|N
20200103|ADX|16818|0|27480|N
20200103|ADXS|1157617|23934|2636635|N
20200103|AE|299|0|677|N
20200103|AEB|254|0|877|N
20200103|AEE|4801|0|24375|N
20200103|AEF|8500|0|13928|N
20200103|AEFC|36|0|367|N
20200103|AEG|16709|0|26341|N
20200103|AEGN|270|0|920|N
20200103|AEHR|22008|0|27693|N
20200103|AEIS|1705|0|2604|N
20200103|AEL|1328|0|4734|N
20200103|AELpA|831|0|1344|N
20200103|AEM|33921|0|61834|N
20200103|AEMD|131169|333|211288|N
20200103|AEO|62787|0|186908|N
20200103|AEP|4092|0|18535|N
20200103|AER|2399|0|4690|N
20200103|AERI|1585|0|10534|N
20200103|AES|34044|0|61045|N
20200103|AESE|150|0|11123|N
20200103|AESR|1|0|1|N
20200103|AEY|551|0|7409|N
20200103|AEYE|650|0|1221|N
20200103|AEZS|16475|0|21895|N
20200103|AFB|38|0|1054|N
20200103|AFG|2192|0|3164|N
20200103|AFGB|78|0|2543|N
20200103|AFGC|571|0|644|N
20200103|AFGH|1564|0|1821|N
20200103|AFH|21065|0|27474|N
20200103|AFI|411|0|1443|N
20200103|AFIN|4595|0|34385|N
20200103|AFINP|5565|0|9259|N
20200103|AFK|221|0|1286|N
20200103|AFL|10323|0|21734|N
20200103|AFMC|13|0|13|N
20200103|AFMD|6613|0|24819|N
20200103|AFT|1369|0|1844|N
20200103|AFTY|111|0|161|N
20200103|AFYA|500|0|882|N
20200103|AG|321907|300|918363|N
20200103|AGCO|1596|0|3024|N
20200103|AGD|6020|0|11597|N
20200103|AGE|23957|0|37973|N
20200103|AGEN|88767|1218|167797|N
20200103|AGFS|195|0|12831|N
20200103|AGFSW|5000|0|5001|N
20200103|AGG|139530|0|196789|N
20200103|AGGY|44737|0|53574|N
20200103|AGI|110277|0|168516|N
20200103|AGIO|5327|0|7565|N
20200103|AGLE|26|0|2658|N
20200103|AGM|125|0|364|N
20200103|AGMpA|347|0|347|N
20200103|AGN|6626|0|21224|N
20200103|AGNC|203477|71|307062|N
20200103|AGNCM|912|0|6724|N
20200103|AGNCN|3565|0|9974|N
20200103|AGNCO|2370|0|2490|N
20200103|AGO|139|0|1039|N
20200103|AGOpE|652|0|5932|N
20200103|AGQ|14572|0|46701|N
20200103|AGR|2625|0|3833|N
20200103|AGRO|287|0|4010|N
20200103|AGRX|301377|3590|571453|N
20200103|AGS|24|0|927|N
20200103|AGT|4|0|785|N
20200103|AGTC|8750|0|17432|N
20200103|AGX|338|0|1467|N
20200103|AGYS|12|0|2926|N
20200103|AGZ|1625|0|3853|N
20200103|AGZD|1397|0|2221|N
20200103|AHC|3135|0|3381|N
20200103|AHCO|200|0|2125|N
20200103|AHH|4160|0|4857|N
20200103|AHLpC|100|0|1213|N
20200103|AHLpD|331|0|468|N
20200103|AHLpE|89|0|120|N
20200103|AHPI|8097|0|9426|N
20200103|AHT|18793|0|37925|N
20200103|AHTpD|1049|0|1049|N
20200103|AHTpF|570|0|1470|N
20200103|AHTpG|10|0|2589|N
20200103|AHTpH|2219|0|3004|N
20200103|AHTpI|6443|0|6736|N
20200103|AI|7702|0|33022|N
20200103|AIA|1982|0|2183|N
20200103|AIC|50|0|50|N
20200103|AIEQ|215|0|2059|N
20200103|AIF|1103|0|5328|N
20200103|AIG|29033|0|51029|N
20200103|AIGpA|41|0|1329|N
20200103|AIH|2014|0|3752|N
20200103|AIHS|39524|0|71218|N
20200103|AIIQ|1171|0|1342|N
20200103|AIM|106746|204|199668|N
20200103|AIMC|554|0|1098|N
20200103|AIMT|26068|0|76075|N
20200103|AIN|2326|0|2900|N
20200103|AINC|17|0|36|N
20200103|AINV|40709|0|87260|N
20200103|AIO|671|0|859|N
20200103|AIQ|18|0|2791|N
20200103|AIR|885|0|2439|N
20200103|AIRG|230|0|1005|N
20200103|AIRI|18459|0|26884|N
20200103|AIRTP|1|0|1|N
20200103|AIT|342|0|777|N
20200103|AIV|4319|0|7661|N
20200103|AIZ|927|0|1415|N
20200103|AJG|3969|0|14598|N
20200103|AJRD|27772|0|42152|N
20200103|AJX|2750|0|7465|N
20200103|AKAM|7695|0|14788|N
20200103|AKBA|8297|0|40981|N
20200103|AKCA|1055|0|5147|N
20200103|AKER|164534|1|312329|N
20200103|AKG|13070|0|47539|N
20200103|AKO/A|1479|0|1480|N
20200103|AKO/B|25|0|25|N
20200103|AKR|260|0|4648|N
20200103|AKRO|4133|49|7699|N
20200103|AKRX|207088|1420|364269|N
20200103|AKS|513323|0|999066|N
20200103|AKTS|5841|0|12527|N
20200103|AKTX|6460|0|34775|N
20200103|AL|8588|0|20559|N
20200103|ALB|14605|0|65650|N
20200103|ALBO|3090|0|5919|N
20200103|ALC|11312|0|19492|N
20200103|ALCO|500|0|550|N
20200103|ALDX|2284|0|5031|N
20200103|ALE|385|0|2250|N
20200103|ALEC|11406|0|13316|N
20200103|ALEX|2737|0|5344|N
20200103|ALFA|56|0|1169|N
20200103|ALG|1052|0|2049|N
20200103|ALGN|3746|0|8980|N
20200103|ALGT|1149|0|2732|N
20200103|ALIM|685|0|1578|N
20200103|ALK|9521|0|23171|N
20200103|ALKS|17595|0|24151|N
20200103|ALL|7793|0|18669|N
20200103|ALLE|872|0|3062|N
20200103|ALLK|1640|0|2617|N
20200103|ALLO|4538|0|11037|N
20200103|ALLT|2356|0|4147|N
20200103|ALLY|17557|0|56778|N
20200103|ALLYpA|13860|0|15993|N
20200103|ALLpB|835|0|1009|N
20200103|ALLpG|1363|0|1707|N
20200103|ALLpH|6253|0|7452|N
20200103|ALLpI|1789|0|2599|N
20200103|ALNA|3724|0|24905|N
20200103|ALNY|7047|0|17911|N
20200103|ALO|11161|0|28329|N
20200103|ALOT|4|0|327|N
20200103|ALPpQ|433|0|2582|N
20200103|ALRM|1005|0|2963|N
20200103|ALRN|43894|0|76103|N
20200103|ALSK|2944|0|19437|N
20200103|ALSN|2642|0|75687|N
20200103|ALT|34810|0|57325|N
20200103|ALTM|7540|0|25702|N
20200103|ALTR|184|0|2582|N
20200103|ALTY|9|0|1245|N
20200103|ALV|1524|0|2754|N
20200103|ALX|8|0|8|N
20200103|ALXN|30155|0|54829|N
20200103|ALpA|35|0|347|N
20200103|AM|143104|0|415695|N
20200103|AMAG|12751|0|26951|N
20200103|AMAL|352|0|7011|N
20200103|AMAT|87032|0|256559|N
20200103|AMBA|29243|0|42942|N
20200103|AMBC|1010|0|1390|N
20200103|AMBO|7|0|1922|N
20200103|AMC|127521|0|271702|N
20200103|AMCR|11827|0|22701|N
20200103|AMCX|2434|0|11160|N
20200103|AMD|8643739|300|19663952|N
20200103|AME|1931|0|12043|N
20200103|AMED|692|0|2791|N
20200103|AMEH|429|0|668|N
20200103|AMG|3738|0|15823|N
20200103|AMGN|9466|0|35860|N
20200103|AMH|2882|14|5433|N
20200103|AMHCU|100|0|100|N
20200103|AMHpH|91|0|119|N
20200103|AMJ|39631|0|151517|N
20200103|AMJL|1532|0|2316|N
20200103|AMK|225|0|327|N
20200103|AMKR|61934|0|129225|N
20200103|AMLP|1211836|0|2221437|N
20200103|AMN|823|0|2603|N
20200103|AMOT|750|0|3731|N
20200103|AMP|7057|0|10795|N
20200103|AMPE|70937|0|220964|N
20200103|AMPH|1030|0|2474|N
20200103|AMPY|816|0|6807|N
20200103|AMRC|2128|0|3454|N
20200103|AMRH|8450|3|18761|N
20200103|AMRK|135|0|146|N
20200103|AMRN|372904|0|1133645|N
20200103|AMRS|27509|0|79394|N
20200103|AMRX|61354|0|148672|N
20200103|AMSC|6976|0|18341|N
20200103|AMSF|269|0|275|N
20200103|AMSWA|20|0|3189|N
20200103|AMT|19117|0|34105|N
20200103|AMTB|100|0|200|N
20200103|AMTD|67576|12|112204|N
20200103|AMTX|204|0|434|N
20200103|AMU|3473|0|4260|N
20200103|AMWD|69|0|741|N
20200103|AMX|564|0|3286|N
20200103|AMZA|100402|0|192649|N
20200103|AMZN|221134|0|570620|N
20200103|AN|1984|0|3231|N
20200103|ANAB|5232|0|18056|N
20200103|ANAT|315|0|821|N
20200103|ANCN|50|0|541|N
20200103|ANDE|4474|0|6962|N
20200103|ANET|20232|0|56890|N
20200103|ANF|21897|16|52132|N
20200103|ANGI|36254|181|87668|N
20200103|ANGL|15023|0|34639|N
20200103|ANGO|3820|0|5386|N
20200103|ANH|4849|0|17213|N
20200103|ANHpA|1|0|1|N
20200103|ANHpC|235|0|1075|N
20200103|ANIK|630|0|1566|N
20200103|ANIP|56|0|188|N
