Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20200109|A|10638|0|26599|N
20200109|AA|286363|0|454063|N
20200109|AAAU|353|0|3906|N
20200109|AACG|363|0|10567|N
20200109|AADR|1437|0|2610|N
20200109|AAL|377756|544|673519|N
20200109|AAN|2678|0|16342|N
20200109|AAOI|78195|0|177447|N
20200109|AAON|621|0|1074|N
20200109|AAP|23312|0|39440|N
20200109|AAPL|3796581|0|8460342|N
20200109|AAT|439|0|3929|N
20200109|AAU|13899|0|73491|N
20200109|AAWW|1239|0|2051|N
20200109|AAXJ|5138|0|17098|N
20200109|AAXN|7477|0|44867|N
20200109|AB|4573|0|23845|N
20200109|ABB|3416|0|14153|N
20200109|ABBV|246241|300|405508|N
20200109|ABC|4951|0|9110|N
20200109|ABCB|228|0|4800|N
20200109|ABDC|3069|0|10149|N
20200109|ABEO|181808|712|307250|N
20200109|ABEV|562705|0|876824|N
20200109|ABG|5745|0|7898|N
20200109|ABIO|4844|0|15104|N
20200109|ABM|107|0|1038|N
20200109|ABMD|7879|0|18890|N
20200109|ABR|45190|0|65404|N
20200109|ABRpA|1145|0|1170|N
20200109|ABRpC|615|0|865|N
20200109|ABT|34623|0|127896|N
20200109|ABUS|27423|0|54072|N
20200109|AC|6|0|6|N
20200109|ACA|5613|0|7083|N
20200109|ACAD|20707|0|73882|N
20200109|ACB|3566228|0|7871869|N
20200109|ACBI|1|0|1390|N
20200109|ACC|1963|0|4293|N
20200109|ACCO|4986|0|6931|N
20200109|ACEL|926|0|1326|N
20200109|ACER|851|0|2760|N
20200109|ACES|3937|0|4496|N
20200109|ACGL|17306|15|36277|N
20200109|ACGLO|387|0|806|N
20200109|ACGLP|140|0|883|N
20200109|ACH|3222|0|7400|N
20200109|ACHC|2721|0|3823|N
20200109|ACHN|21316|0|39596|N
20200109|ACHV|568679|0|1158302|N
20200109|ACIA|4976|0|14870|N
20200109|ACIO|380|0|3704|N
20200109|ACIU|4935|0|17265|N
20200109|ACIW|2693|0|6272|N
20200109|ACLS|1445|0|2327|N
20200109|ACM|33043|0|67441|N
20200109|ACMR|19081|0|78580|N
20200109|ACN|16366|0|50731|N
20200109|ACOR|157727|0|302969|N
20200109|ACP|5407|0|64530|N
20200109|ACRE|40777|0|44254|N
20200109|ACRS|2366|0|24484|N
20200109|ACRX|68594|300|266332|N
20200109|ACST|284134|2031|488760|N
20200109|ACT|14|0|146|N
20200109|ACTG|4117|0|5778|N
20200109|ACTTU|13|0|13|N
20200109|ACV|3966|0|9944|N
20200109|ACWF|182|0|315|N
20200109|ACWI|5529|0|31079|N
20200109|ACWV|4740|0|14985|N
20200109|ACWX|710|0|23298|N
20200109|ADAP|97626|0|150717|N
20200109|ADBE|46052|0|91230|N
20200109|ADC|567|0|772|N
20200109|ADES|4068|0|14858|N
20200109|ADI|5935|0|9525|N
20200109|ADIL|11244|0|21945|N
20200109|ADM|94658|0|154340|N
20200109|ADMA|268905|500|690772|N
20200109|ADMP|68301|0|173332|N
20200109|ADMS|48359|0|134541|N
20200109|ADNT|16749|0|32682|N
20200109|ADP|4069|0|20105|N
20200109|ADPT|14366|0|41910|N
