Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20200109|AABB|637328|0|1328926|O
20200109|AACAY|17031|0|27600|O
20200109|AACH|5000|0|57674|O
20200109|AACS|3000|0|3000|O
20200109|AACTF|3700|0|7638|O
20200109|AAGC|1000000|0|1002000|O
20200109|AAGFF|40145|0|117078|O
20200109|AAGH|3000|0|23100|O
20200109|AAGIY|122194|0|171781|O
20200109|AAIGF|20|0|370|O
20200109|AATRL|41|0|135689|O
20200109|AAVMY|3784|0|26950|O
20200109|AAVVF|4000|0|49588|O
20200109|AAWC|10423|0|274266|O
20200109|ABAHF|5082|0|6153|O
20200109|ABBRF|40|0|40|O
20200109|ABCE|19163675|0|34236003|O
20200109|ABCFF|104250|0|201413|O
20200109|ABCZY|910|0|3756|O
20200109|ABILF|3219|0|9018|O
20200109|ABMC|20000|0|20000|O
20200109|ABML|485539|0|2381523|O
20200109|ABNAF|500|0|500|O
20200109|ABPR|515|0|515|O
20200109|ABSSF|40|0|328|O
20200109|ABVC|300|0|400|O
20200109|ABVG|3000|0|3000|O
20200109|ABVN|2500|0|5230|O
20200109|ACAN|215|0|27796|O
20200109|ACCA|28218|0|37686|O
20200109|ACCR|36800|0|372343|O
20200109|ACCYY|42720|0|77997|O
20200109|ACDVF|849|0|6239|O
20200109|ACEJF|130|0|130|O
20200109|ACFN|3704|0|5005|O
20200109|ACGBF|8250|0|8250|O
20200109|ACGBY|213|0|1823|O
20200109|ACGX|2|0|5400|O
20200109|ACKAY|137|0|345|O
20200109|ACLLF|23|0|59|O
20200109|ACMC|100|0|200|O
20200109|ACNI|130000|0|540235|O
20200109|ACNNF|15575|0|33130|O
20200109|ACOPF|2200|0|2288|O
20200109|ACRGF|129490|0|303720|O
20200109|ACRL|503223|0|615972|O
20200109|ACSAY|18696|0|56321|O
20200109|ACUIF|10020|0|12635|O
20200109|ACUR|1000|0|8300|O
20200109|ADDDF|2|0|2016|O
20200109|ADDYY|33862|0|114203|O
20200109|ADFS|1000|0|2100|O
20200109|ADGO|1254000|0|12275921|O
20200109|ADGS|2000|0|17000|O
20200109|ADHC|176300|0|499982|O
20200109|ADMLF|100|0|3300|O
20200109|ADMT|82901|0|113000|O
20200109|ADNY|131865|0|151865|O
20200109|ADOM|30797|0|68444|O
20200109|ADRNY|7614|0|55154|O
20200109|ADRZY|200|0|200|O
20200109|ADSV|3851555|0|8890885|O
20200109|ADTFF|37000|0|37000|O
20200109|ADTM|30002000|0|30002000|O
20200109|ADYEY|13112|0|18786|O
20200109|ADYYF|148|0|169|O
20200109|AEBZY|939|0|1939|O
20200109|AEEI|200|0|203|O
20200109|AEPT|10000|0|37000|O
20200109|AERG|17589|0|32835|O
20200109|AERO|2214|0|11012|O
20200109|AESEW|1618|0|8818|O
20200109|AETUF|1500|0|17196|O
20200109|AEXAF|9|0|9|O
20200109|AEXAY|7334|0|11724|O
20200109|AFFS|2860|0|3525|O
20200109|AFFT|300|0|678|O
20200109|AFGVY|100|0|100|O
20200109|AFHBL|700|0|3226|O
20200109|AFLYY|550|0|2057|O
20200109|AFOM|22854394|0|43321360|O
20200109|AFPW|1002000|0|1002000|O
20200109|AFSIA|1940|0|2807|O
20200109|AFSIB|600|0|7160|O
20200109|AFSIC|100|0|1300|O
20200109|AFSIM|4040|0|5310|O
20200109|AFSIP|300|0|3069|O
20200109|AFTM|4910770|0|7215775|O
20200109|AFTPF|24|0|582|O
20200109|AGCBF|29600|0|58100|O
20200109|AGCZ|22000|0|47810|O
20200109|AGEEF|39950|0|87141|O
20200109|AGESY|1175|0|2705|O
20200109|AGFAF|418567|0|622867|O
20200109|AGGFF|70755|0|217146|O
20200109|AGNPF|20000|0|32821|O
20200109|AGPPF|50|0|90|O
20200109|AGPYY|108|0|208|O
20200109|AGSM|100|0|115|O
20200109|AGTK|107029|0|625869|O
20200109|AGTT|1680|0|1680|O
20200109|AGUNF|21025|0|21086|O
20200109|AHCHY|6398|0|16044|O
20200109|AHCOW|94086|0|192719|O
20200109|AHEXY|14572|0|35479|O
20200109|AHFD|300000|0|300000|O
20200109|AHIX|25|0|3070125|O
20200109|AHKSY|19846|0|33023|O
20200109|AHOTF|2108|0|5831|O
20200109|AIBGY|7237|0|7486|O
20200109|AILLL|5|0|266|O
20200109|AILQF|200|0|200|O
