,Date,Symbol,ShortVolume,ShortExemptVolume,TotalVolume,Market,NetShort,NetShortPercent,CumNetShort,CumNetShortPercentOutstanding,sharesOutstanding
4034,20211201,GME,591462.0,1347.0,912109.0,"B,Q,N",-273509.0,-29.986438024402783,-273509.0,-0.0035822676383220607,76350800
3996,20211202,GME,520137.0,2383.0,779455.0,"B,Q,N",-265585.0,-34.073166507367326,-539094.0,-0.0070607511643623905,76350800
4010,20211203,GME,955652.0,12368.0,1337038.0,"B,Q,N",-599002.0,-44.800671334696546,-1138096.0,-0.014906143747020333,76350800
4021,20211206,GME,471069.0,14541.0,762959.0,"B,Q,N",-208261.0,-27.29648644291502,-1346357.0,-0.017633829638982173,76350800
4015,20211207,GME,431079.0,153.0,678333.0,"B,Q,N",-184131.0,-27.144632503504916,-1530488.0,-0.02004547431068175,76350800
3959,20211208,GME,523994.0,591.0,817482.0,"B,Q,N",-231688.0,-28.34166379198563,-1762176.0,-0.023079993922787975,76350800
3989,20211209,GME,1288513.0,14012.0,1784709.0,"B,Q,N",-820341.0,-45.96497244088532,-2582517.0,-0.03382436071396763,76350800
3957,20211210,GME,1036679.0,30998.0,1515068.0,"B,Q,N",-620286.0,-40.941132675233064,-3202803.0,-0.04194851920346611,76350800
3983,20211213,GME,996536.0,34222.0,1901835.0,"B,Q,N",-159681.0,-8.396154240509823,-3362484.0,-0.04403993147419542,76350800
3988,20211214,GME,1142695.0,29498.0,2354849.0,"B,Q,N",10463.0,0.44431723647673377,-3352021.0,-0.043902892962483696,76350800
4033,20211215,GME,662119.0,671.0,1147374.0,"B,Q,N",-178206.0,-15.531640075511561,-3530227.0,-0.0462369353038868,76350800
3978,20211216,GME,399851.0,797.0,746362.0,"B,Q,N",-54934.0,-7.360235381758449,-3585161.0,-0.046956430057052446,76350800
3980,20211217,GME,604111.0,244.0,1384469.0,"B,Q,N",175759.0,12.695047704210062,-3409402.0,-0.044654437150625795,76350800
4005,20211220,GME,370785.0,548.0,693808.0,"B,Q,N",-48858.0,-7.0420058575283075,-3458260.0,-0.045294351860098385,76350800
3992,20211221,GME,226128.0,4519.0,508424.0,"B,Q,N",47130.0,9.269822038298743,-3411130.0,-0.04467706952644897,76350800
3972,20211222,GME,168134.0,737.0,338065.0,"B,Q,N",323.0,0.0955437563782113,-3410807.0,-0.044672839053421835,76350800
3960,20211223,GME,197795.0,3126.0,441795.0,"B,Q,N",39953.0,9.04333457825462,-3370854.0,-0.04414955704458892,76350800
4018,20211227,GME,290376.0,732.0,710190.0,"B,Q,N",127974.0,18.01968487306214,-3242880.0,-0.04247342529482337,76350800
3991,20211228,GME,244361.0,0.0,563733.0,"B,Q,N",75011.0,13.306121869750395,-3167869.0,-0.04149097324455016,76350800
4015,20211229,GME,405033.0,3181.0,938619.0,"B,Q,N",122191.0,13.018168181125676,-3045678.0,-0.0398905839886419,76350800
3992,20211230,GME,217906.0,329.0,634133.0,"B,Q,N",197663.0,31.170590396651804,-2848015.0,-0.03730170476275298,76350800
4000,20211231,GME,168673.0,4249.0,580237.0,"B,Q,N",234393.0,40.3960795330184,-2613622.0,-0.03423175657622448,76350800
4039,20220103,GME,178977.0,1848.0,511862.0,"B,Q,N",150212.0,29.34619096553368,-2463410.0,-0.03226436396213268,76350800
3950,20220104,GME,389661.0,511.0,685935.0,"B,Q,N",-94409.0,-13.763549024324462,-2557819.0,-0.03350088014794868,76350800
3984,20220105,GME,709715.0,9755.0,1253029.0,"B,Q,N",-185911.0,-14.836927158110466,-2743730.0,-0.03593583826233648,76350800
3969,20220106,GME,633740.0,20738.0,1260839.0,"B,Q,N",-48117.0,-3.8162683736781617,-2791847.0,-0.03656604776898212,76350800
3981,20220107,GME,2591667.0,13707.0,5140558.0,"B,Q,N",-70190.0,-1.3654159723516397,-2862037.0,-0.03748535706240144,76350800
4010,20220110,GME,1098806.0,35416.0,2169489.0,"B,Q,N",-98955.0,-4.56121234078624,-2960992.0,-0.0387814142091504,76350800
3971,20220111,GME,495353.0,18599.0,1007236.0,"B,Q,N",-20668.0,-2.0519520747868425,-2981660.0,-0.03905211209312803,76350800
3946,20220112,GME,317889.0,1062.0,653240.0,"B,Q,N",15338.0,2.3479884881513686,-2966322.0,-0.03885122356281794,76350800
3952,20220113,GME,415668.0,4418.0,893659.0,"B,Q,N",53487.0,5.98516883956856,-2912835.0,-0.03815068080491626,76350800
