,Date,Symbol,ShortVolume,ShortExemptVolume,TotalVolume,Market,NetShort,NetShortPercent,CumNetShort,CumNetShortPercentOutstanding,sharesOutstanding
1540,20211201,GME,23020.0,0.0,28167.0,B,-17873.0,-63.453686938616116,-17873.0,-0.00023409053998124445,76350800
1443,20211202,GME,14780.0,0.0,22205.0,B,-7355.0,-33.12317045710426,-25228.0,-0.00033042220906657165,76350800
1429,20211203,GME,21360.0,0.0,31628.0,B,-11092.0,-35.07019097002656,-36320.0,-0.00047569901035745535,76350800
1416,20211206,GME,12898.0,0.0,18592.0,B,-7204.0,-38.74784853700516,-43524.0,-0.0005700529660461973,76350800
1466,20211207,GME,13745.0,0.0,15926.0,B,-11564.0,-72.61082506592993,-55088.0,-0.0007215117588813738,76350800
1347,20211208,GME,9753.0,0.0,11809.0,B,-7697.0,-65.17910068591752,-62785.0,-0.0008223227523483709,76350800
1291,20211209,GME,35478.0,0.0,44777.0,B,-26179.0,-58.46528351609085,-88964.0,-0.0011652006265815158,76350800
1272,20211210,GME,14472.0,0.0,20086.0,B,-8858.0,-44.10036841581201,-97822.0,-0.001281217747554708,76350800
1433,20211213,GME,27767.0,0.0,43259.0,B,-12275.0,-28.375598141427215,-110097.0,-0.0014419888200254613,76350800
1348,20211214,GME,46291.0,0.0,67748.0,B,-24834.0,-36.65643266221881,-134931.0,-0.001767250637845314,76350800
1461,20211215,GME,12961.0,0.0,18572.0,B,-7350.0,-39.57570536291191,-142281.0,-0.0018635168197320788,76350800
1392,20211216,GME,9977.0,0.0,12864.0,B,-7090.0,-55.11504975124378,-149371.0,-0.0019563776672935976,76350800
1423,20211217,GME,19853.0,0.0,27297.0,B,-12409.0,-45.45920797157197,-161780.0,-0.0021189037966858238,76350800
1589,20211220,GME,7458.0,0.0,12259.0,B,-2657.0,-21.673872257117218,-164437.0,-0.0021537036940018966,76350800
1386,20211221,GME,3434.0,0.0,5546.0,B,-1322.0,-23.836999639379734,-165759.0,-0.0021710185093018015,76350800
1345,20211222,GME,5540.0,0.0,7060.0,B,-4020.0,-56.94050991501416,-169779.0,-0.002223670216945991,76350800
1349,20211223,GME,4913.0,0.0,6657.0,B,-3169.0,-47.60402583746433,-172948.0,-0.0022651760033948563,76350800
1451,20211227,GME,6284.0,0.0,11015.0,B,-1553.0,-14.098955969133002,-174501.0,-0.0022855163272683457,76350800
1305,20211228,GME,8759.0,0.0,12107.0,B,-5411.0,-44.69315272156604,-179912.0,-0.002356386573552602,76350800
1329,20211229,GME,12385.0,0.0,15164.0,B,-9606.0,-63.347401740965445,-189518.0,-0.002482200579430733,76350800
1363,20211230,GME,4838.0,0.0,9221.0,B,-455.0,-4.934388894913784,-189973.0,-0.0024881599144999135,76350800
1196,20211231,GME,2462.0,0.0,4559.0,B,-365.0,-8.006141697740734,-190338.0,-0.0024929404799949708,76350800
1502,20220103,GME,3748.0,0.0,5996.0,B,-1500.0,-25.01667778519013,-191838.0,-0.0025125866395636983,76350800
1498,20220104,GME,8363.0,0.0,10098.0,B,-6628.0,-65.63675975440681,-198466.0,-0.0025993964699780486,76350800
1480,20220105,GME,16795.0,0.0,20934.0,B,-12656.0,-60.45667335435178,-211122.0,-0.002765157666979259,76350800
1416,20220106,GME,36141.0,0.0,43925.0,B,-28357.0,-64.55776892430279,-239479.0,-0.003136561764906196,76350800
1374,20220107,GME,100416.0,0.0,161639.0,B,-39193.0,-24.247242311570847,-278672.0,-0.003649889719557621,76350800
1520,20220110,GME,23372.0,0.0,42108.0,B,-4636.0,-11.00978436401634,-283308.0,-0.0037106094500647013,76350800
1396,20220111,GME,9872.0,0.0,13349.0,B,-6395.0,-47.90621020301146,-289703.0,-0.003794367577026043,76350800
1420,20220112,GME,6076.0,0.0,7855.0,B,-4297.0,-54.704010184595795,-294000.0,-0.003850647275470591,76350800
1367,20220113,GME,16304.0,0.0,18089.0,B,-14519.0,-80.26424899109956,-308519.0,-0.004040809002656161,76350800
