,Date,Symbol,ShortVolume,ShortExemptVolume,TotalVolume,Market,NetShort,NetShortPercent,CumNetShort,CumNetShortPercentOutstanding,sharesOutstanding
3990,20211201,GME,470188.0,1194.0,688951.0,Q,-253813.0,-36.84050099353946,-253813.0,-0.003324300465744956,76350800
3949,20211202,GME,409060.0,2219.0,586489.0,Q,-236069.0,-40.251223808119164,-489882.0,-0.006416199961231579,76350800
3961,20211203,GME,777929.0,6041.0,1020474.0,Q,-547466.0,-53.64820661770903,-1037348.0,-0.013586602890866894,76350800
3975,20211206,GME,388337.0,6596.0,576074.0,Q,-213792.0,-37.111898818554565,-1251140.0,-0.016386730721878486,76350800
3966,20211207,GME,324426.0,153.0,495602.0,Q,-153556.0,-30.98373291471786,-1404696.0,-0.018397921174368833,76350800
3909,20211208,GME,396154.0,581.0,591807.0,Q,-201663.0,-34.07580511889856,-1606359.0,-0.0210391901591077,76350800
3937,20211209,GME,1011528.0,4742.0,1353355.0,Q,-679185.0,-50.185280284921554,-2285544.0,-0.029934774750231825,76350800
3919,20211210,GME,837863.0,13706.0,1178413.0,Q,-524725.0,-44.52810686915368,-2810269.0,-0.03680732880336552,76350800
3939,20211213,GME,802655.0,13318.0,1468923.0,Q,-163023.0,-11.09813107970942,-2973292.0,-0.03894251271761396,76350800
3924,20211214,GME,889546.0,10232.0,1732816.0,Q,-66740.0,-3.851534150192519,-3040032.0,-0.03981663584402521,76350800
3965,20211215,GME,545091.0,284.0,910720.0,Q,-180030.0,-19.76787596626845,-3220062.0,-0.04217456791546389,76350800
3928,20211216,GME,331672.0,664.0,588266.0,Q,-76406.0,-12.988342008547155,-3296468.0,-0.04317529089413601,76350800
3930,20211217,GME,504241.0,90.0,1047672.0,Q,39010.0,3.7234936125046767,-3257458.0,-0.042664359770951975,76350800
3954,20211220,GME,316273.0,458.0,509719.0,Q,-123743.0,-24.276709324157036,-3381201.0,-0.044285076253294,76350800
3943,20211221,GME,170083.0,4485.0,365648.0,Q,16512.0,4.515818492101693,-3364689.0,-0.044068811328761455,76350800
3905,20211222,GME,136040.0,599.0,250688.0,Q,-22590.0,-9.01120117436814,-3387279.0,-0.04436468249186649,76350800
3910,20211223,GME,155460.0,2898.0,330831.0,Q,14115.0,4.266528831941383,-3373164.0,-0.044179812130324764,76350800
3953,20211227,GME,227591.0,593.0,539793.0,Q,83425.0,15.45499849016197,-3289739.0,-0.043087158222310705,76350800
3942,20211228,GME,185176.0,0.0,424993.0,Q,54641.0,12.85691764334942,-3235098.0,-0.04237150101898081,76350800
3951,20211229,GME,280068.0,2383.0,627874.0,Q,62972.0,10.029400803345895,-3172126.0,-0.041546729045406204,76350800
3937,20211230,GME,172058.0,329.0,463841.0,Q,119067.0,25.669787707425606,-3053059.0,-0.039987256191159753,76350800
3936,20211231,GME,137532.0,3387.0,447431.0,Q,165593.0,37.009728874396274,-2887466.0,-0.037818411856850226,76350800
3966,20220103,GME,158387.0,1740.0,414886.0,Q,94632.0,22.809157214270908,-2792834.0,-0.03657897494197834,76350800
3896,20220104,GME,317436.0,463.0,546744.0,Q,-89054.0,-16.28806168883426,-2881888.0,-0.03774535433813398,76350800
3933,20220105,GME,551519.0,4959.0,925958.0,Q,-186998.0,-20.19508444227492,-3068886.0,-0.040194549369489255,76350800
3908,20220106,GME,450886.0,11530.0,861811.0,Q,-63021.0,-7.312624229674487,-3131907.0,-0.04101996311760977,76350800
3931,20220107,GME,1924724.0,12494.0,3779718.0,Q,-94718.0,-2.5059541479020395,-3226625.0,-0.042260526412296925,76350800
3962,20220110,GME,874373.0,15128.0,1646338.0,Q,-132664.0,-8.058126581540364,-3359289.0,-0.04399808515431403,76350800
3925,20220111,GME,387880.0,6911.0,763905.0,Q,-25677.0,-3.3612818347831213,-3384966.0,-0.04433438811381151,76350800
3899,20220112,GME,235925.0,953.0,491975.0,Q,18219.0,3.70323695309721,-3366747.0,-0.044095765859689745,76350800
3900,20220113,GME,325670.0,4156.0,694287.0,Q,34635.0,4.98857100881912,-3332112.0,-0.04364213603524783,76350800
