,Date,Symbol,ShortVolume,ShortExemptVolume,TotalVolume,Market,NetShort,NetShortPercent,CumNetShort,CumNetShortPercentOutstanding,sharesOutstanding
3332,20211201,GME,98254.0,153.0,194991.0,N,-1823.0,-0.9349149447923237,-1823.0,-2.3876632595860162e-05,76350800
3291,20211202,GME,96297.0,164.0,170761.0,N,-22161.0,-12.977787668144366,-23984.0,-0.0003141289940642403,76350800
3289,20211203,GME,156363.0,6327.0,284936.0,N,-40444.0,-14.194064632057726,-64428.0,-0.0008438418457959838,76350800
3276,20211206,GME,69834.0,7945.0,168293.0,N,12735.0,7.56715965607601,-51693.0,-0.0006770459510574872,76350800
3275,20211207,GME,92908.0,0.0,166805.0,N,-19011.0,-11.397140373490004,-70704.0,-0.0009260413774315396,76350800
3289,20211208,GME,118087.0,10.0,213866.0,N,-22328.0,-10.440182170143922,-93032.0,-0.0012184810113319048,76350800
3188,20211209,GME,241507.0,9270.0,386577.0,N,-114977.0,-29.742328177827442,-208009.0,-0.002724385337154293,76350800
3202,20211210,GME,184344.0,17292.0,316569.0,N,-86703.0,-27.388341878073973,-294712.0,-0.0038599726525458803,76350800
3246,20211213,GME,166114.0,20904.0,389653.0,N,15617.0,4.007924999935841,-279095.0,-0.003655429936556002,76350800
3211,20211214,GME,206858.0,19266.0,554285.0,N,102037.0,18.408760836032005,-177058.0,-0.0023190064806131697,76350800
3274,20211215,GME,104067.0,387.0,218082.0,N,9174.0,4.206674553608276,-167884.0,-0.0021988505686908323,76350800
3252,20211216,GME,58202.0,133.0,145232.0,N,28562.0,19.666464690977197,-139322.0,-0.0018247614956228356,76350800
3251,20211217,GME,80017.0,154.0,309500.0,N,149158.0,48.19321486268174,9836.0,0.0001288264170120025,76350800
3295,20211220,GME,47054.0,90.0,171830.0,N,77542.0,45.127160565675375,87378.0,0.0011444280871975147,76350800
3261,20211221,GME,52611.0,34.0,137230.0,N,31940.0,23.274794141222767,119318.0,0.0015627603116142857,76350800
3245,20211222,GME,26554.0,138.0,80317.0,N,26933.0,33.53337400550319,146251.0,0.0019155136553906443,76350800
3249,20211223,GME,37422.0,228.0,104307.0,N,29007.0,27.809255371163964,175258.0,0.002295431089130697,76350800
3306,20211227,GME,56501.0,139.0,159382.0,N,46102.0,28.925474645819477,221360.0,0.0028992492547556805,76350800
3221,20211228,GME,50426.0,0.0,126633.0,N,25781.0,20.358832215931077,247141.0,0.0032369143479832564,76350800
3285,20211229,GME,112580.0,798.0,295581.0,N,68825.0,23.284649554606013,315966.0,0.004138345636195037,76350800
3310,20211230,GME,41010.0,0.0,161071.0,N,79051.0,49.078356749507975,395017.0,0.005173711342906688,76350800
3297,20211231,GME,28679.0,862.0,128247.0,N,69165.0,53.93108610727736,464182.0,0.006079595760620714,76350800
3328,20220103,GME,16842.0,108.0,90980.0,N,57080.0,62.739063530446245,521262.0,0.006827197619409358,76350800
3309,20220104,GME,63862.0,48.0,129093.0,N,1273.0,0.9861107883463859,522535.0,0.006843870660163351,76350800
3291,20220105,GME,141401.0,4796.0,306137.0,N,13743.0,4.489166614946903,536278.0,0.007023868774132033,76350800
3272,20220106,GME,146713.0,9208.0,355103.0,N,43261.0,12.182662495107053,579539.0,0.007590477113533846,76350800
3209,20220107,GME,566527.0,1213.0,1199201.0,N,63721.0,5.313621319528586,643260.0,0.008425059069453103,76350800
3330,20220110,GME,201061.0,20288.0,481043.0,N,38345.0,7.971220867988932,681605.0,0.00892728039522834,76350800
3224,20220111,GME,97601.0,11688.0,229982.0,N,11404.0,4.958648937742954,693009.0,0.00907664359770952,76350800
3235,20220112,GME,75888.0,109.0,153410.0,N,1416.0,0.9230167524933186,694425.0,0.0090951895723424,76350800
3247,20220113,GME,73694.0,262.0,181283.0,N,33371.0,18.408234638658893,727796.0,0.009532264232987735,76350800
