,regularMarketPrice,logo_url,52WeekChange,SandP52WeekChange,address1,algorithm,annualHoldingsTurnover,annualReportExpenseRatio,ask,askSize,averageDailyVolume10Day,averageVolume,averageVolume10days,beta,beta3Year,bid,bidSize,bookValue,category,circulatingSupply,city,companyOfficers,country,currency,currentPrice,currentRatio,dateShortInterest,dayHigh,dayLow,debtToEquity,dividendRate,dividendYield,earningsGrowth,earningsQuarterlyGrowth,ebitda,ebitdaMargins,enterpriseToEbitda,enterpriseToRevenue,enterpriseValue,exDividendDate,exchange,exchangeTimezoneName,exchangeTimezoneShortName,expireDate,fiftyDayAverage,fiftyTwoWeekHigh,fiftyTwoWeekLow,financialCurrency,fiveYearAverageReturn,fiveYearAvgDividendYield,floatShares,forwardEps,forwardPE,freeCashflow,fromCurrency,fullTimeEmployees,fundFamily,fundInceptionDate,gmtOffSetMilliseconds,grossMargins,grossProfits,heldPercentInsiders,heldPercentInstitutions,impliedSharesOutstanding,industry,isEsgPopulated,lastCapGain,lastDividendDate,lastDividendValue,lastFiscalYearEnd,lastMarket,lastSplitDate,lastSplitFactor,legalType,longBusinessSummary,longName,market,marketCap,maxAge,maxSupply,messageBoardId,morningStarOverallRating,morningStarRiskRating,mostRecentQuarter,navPrice,netIncomeToCommon,nextFiscalYearEnd,numberOfAnalystOpinions,open,openInterest,operatingCashflow,operatingMargins,payoutRatio,pegRatio,phone,previousClose,priceHint,priceToBook,priceToSalesTrailing12Months,profitMargins,quickRatio,quoteType,recommendationKey,recommendationMean,regularMarketDayHigh,regularMarketDayLow,regularMarketOpen,regularMarketPreviousClose,regularMarketVolume,returnOnAssets,returnOnEquity,revenueGrowth,revenuePerShare,revenueQuarterlyGrowth,sector,sharesOutstanding,sharesPercentSharesOut,sharesShort,sharesShortPreviousMonthDate,sharesShortPriorMonth,shortName,shortPercentOfFloat,shortRatio,startDate,state,strikePrice,symbol,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,threeYearAverageReturn,toCurrency,totalAssets,totalCash,totalCashPerShare,totalDebt,totalRevenue,tradeable,trailingAnnualDividendRate,trailingAnnualDividendYield,trailingEps,twoHundredDayAverage,volume,volume24Hr,volumeAllCurrencies,website,yield,ytdReturn,zip,trailingPE,fax,address2
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,17.96,https://logo.clearbit.com/aa.com,0.19431591,0.29132175,1 Skyview Drive,,,,17.98,4000.0,33393990.0,34412306.0,33393990.0,1.667532,,17.96,2900.0,-11.486,,,Fort Worth,[],United States,USD,17.96,1.014,1639526400.0,18.36,17.93,,,,,,-4754999808.0,-0.19422,-9.215,1.79,43818917888.0,1580774400.0,NMS,America/New_York,EST,,18.9038,26.09,14.71,USD,,,641307009.0,-0.11,-163.27272,-1145750016.0,,119800.0,,,-18000000,-0.04542,-5536000000.0,0.0098,0.56364,,Airlines,0.0,,1580774400.0,0.1,1609372800.0,,,,,"American Airlines Group Inc., through its subsidiaries, operates as a network air carrier. The company provides scheduled air transportation services for passengers and cargo through its hubs in Charlotte, Chicago, Dallas/Fort Worth, Los Angeles, Miami, New York, Philadelphia, Phoenix, and Washington, D.C., as well as through partner gateways in London, Madrid, Seattle/Tacoma, Sydney, and Tokyo. As of December 31, 2020, it operated a mainline fleet of 855 aircraft. The company was formerly known as AMR Corporation and changed its name to American Airlines Group Inc. in December 2013. American Airlines Group Inc. was founded in 1930 and is headquartered in Fort Worth, Texas.",American Airlines Group Inc.,us_market,11629350912.0,1.0,,finmb_168569,,,1632960000.0,,-3239000064.0,1672444800.0,18.0,18.07,,-959000000.0,-0.28338,0.0,0.02,817 963 1234,18.07,2.0,,0.47499695,-0.13229,0.838,EQUITY,hold,3.1,18.36,17.93,18.07,18.07,20498933.0,-0.0661,,1.827,39.184,,Industrials,647513984.0,0.1582,102466793.0,1636934400.0,72512021.0,"American Airlines Group, Inc.",0.1776,2.39,,TX,,AAL,28.0,5.0,19.11,20.0,,,,14535999488.0,22.45,46655000576.0,24483000320.0,0.0,0.0,0.0,-5.184,20.83105,20498933.0,,,https://www.aa.com,,,76155,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,5.6587,https://logo.clearbit.com/ao-inc.com,-0.36842108,0.26514983,13139 Jess Pirtle Boulevard,,,,5.67,900.0,440900.0,663193.0,440900.0,1.741298,,5.65,800.0,9.714,,,Sugar Land,[],United States,USD,5.6587,2.149,1638230400.0,5.685,5.6012,58.348,,,,,-30731000.0,-0.1467,-8.605,1.262,264443728.0,,NGM,America/New_York,EST,,6.3814,13.949,5.2,USD,,,26095186.0,-0.6,-9.431167,-15275375.0,,2682.0,,,-18000000,0.19523,50541000.0,0.07125,0.51268,,Semiconductors,False,,,,1609372800.0,,,,,"Applied Optoelectronics, Inc. designs, manufactures, and sells various fiber-optic networking products worldwide. It offers optical modules, lasers, subassemblies, transmitters and transceivers, and turn-key equipment, as well as headend, node, and distribution equipment. The company sells its products to internet data center operators, cable television and telecom equipment manufacturers, and internet service providers through its direct and indirect sales channels. Applied Optoelectronics, Inc. was incorporated in 1997 and is headquartered in Sugar Land, Texas.","Applied Optoelectronics, Inc.",us_market,154468928.0,1.0,,finmb_1043391,,,1632960000.0,,-53061000.0,1672444800.0,7.0,5.61,,-25487000.0,-0.26877,0.0,-0.55,281 295 1800,5.64,2.0,0.5825304,0.7373852,-0.2533,0.937,EQUITY,hold,2.7,5.685,5.6012,5.61,5.64,43337.0,-0.07329,-0.20056,-0.305,8.056,,Technology,27297600.0,0.1251,3416138.0,1635465600.0,4494518.0,"Applied Optoelectronics, Inc.",0.1496,2.79,,TX,,AAOI,57.0,6.5,15.36,8.0,,,,43534000.0,1.595,154019008.0,209482000.0,False,,,-2.041,7.416575,43337.0,,,https://www.ao-inc.com,,,77478,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,177.57,https://logo.clearbit.com/apple.com,0.3770188,0.29132175,One Apple Park Way,,,,177.59,1200.0,98069820.0,89457731.0,98069820.0,1.203116,,177.52,800.0,3.841,,,Cupertino,[],United States,USD,177.57,1.075,1639526400.0,179.23,177.26,216.392,0.88,0.0049,0.662,0.622,120233000960.0,0.32867,24.931,8.194,2997502869504.0,1636070400,NMS,America/New_York,EST,,161.5314,182.13,116.21,USD,,1.2,16389662475.0,6.18,28.733011,73295003648.0,,154000.0,,,-18000000,0.41779,152836000000.0,0.0007,0.58833003,,Consumer Electronics,False,,1636070400,0.22,1632528000.0,,1598832000,4:1,,"Apple Inc. designs, manufactures, and markets smartphones, personal computers, tablets, wearables, and accessories worldwide. It also sells various related services. In addition, the company offers iPhone, a line of smartphones; Mac, a line of personal computers; iPad, a line of multi-purpose tablets; AirPods Max, an over-ear wireless headphone; and wearables, home, and accessories comprising AirPods, Apple TV, Apple Watch, Beats products, HomePod, and iPod touch. Further, it provides AppleCare support services; cloud services store services; and operates various platforms, including the App Store that allow customers to discover and download applications and digital content, such as books, music, video, games, and podcasts. Additionally, the company offers various services, such as Apple Arcade, a game subscription service; Apple Music, which offers users a curated listening experience with on-demand radio stations; Apple News+, a subscription news and magazine service; Apple TV+, which offers exclusive original content; Apple Card, a co-branded credit card; and Apple Pay, a cashless payment service, as well as licenses its intellectual property. The company serves consumers, and small and mid-sized businesses; and the education, enterprise, and government markets. It distributes third-party applications for its products through the App Store. The company also sells its products through its retail and online stores, and direct sales force; and third-party cellular network carriers, wholesalers, retailers, and resellers. Apple Inc. was incorporated in 1977 and is headquartered in Cupertino, California.",Apple Inc.,us_market,2913284653056.0,1.0,,finmb_24937,,,1632528000.0,,94679998464.0,1695600000.0,42.0,178.085,,104037998592.0,0.29782,0.1515,1.99,408 996 1010,178.2,2.0,46.23015,7.963776,0.25882,0.91,EQUITY,buy,1.8,179.23,177.26,178.085,178.2,59615456.0,0.20179,1.47443,0.288,21.904,,Technology,16406400000.0,0.0069,113277024.0,1636934400.0,99688619.0,Apple Inc.,0.0069,1.0,,CA,,AAPL,210.0,128.01,175.76,175.0,,,,62639001600.0,3.818,136521998336.0,365817004032.0,False,0.85,0.004769922,5.61,143.66846,59615456.0,,,https://www.apple.com,,,95014,31.652407,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,91.8,https://logo.clearbit.com/atlasairworldwide.com,0.6770016,0.26514983,2000 Westchester Avenue,,,,91.78,1100.0,553630.0,544080.0,553630.0,1.117922,,91.48,800.0,90.414,,,Purchase,[],United States,USD,91.8,0.8,1638230400.0,92.57,91.415,99.882,,,0.406,0.614,944595968.0,0.24856001,4.781,1.188,4516412416.0,,NMS,America/New_York,EST,,86.128,95.0,50.22,USD,,,25170721.0,12.95,7.0888033,196027008.0,,4061.0,,,-18000000,0.33448002,1092115000.0,0.06361,1.11653,,Airports & Air Services,False,,,,1609372800.0,,,,,"Atlas Air Worldwide Holdings, Inc., through its subsidiaries, provides outsourced aircraft and aviation operating services. It operates through three segments: ACMI, Charter, and Dry Leasing. The company offers outsourced cargo and passenger aircraft operating solutions, including contractual service arrangements, such as the provision of aircraft; and value-added services, including crew, maintenance, and insurance to aircraft and other customers. It also provides cargo and passenger aircraft charter services to the U.S. Military Air Mobility Command, charter brokers, freight forwarders, direct shippers, airlines, sports teams and fans, and private charter customers; and cargo and passenger aircraft and engines dry leasing services. In addition, the company offers administrative and management support services, and flight simulator training services. It also serves express delivery providers, e-commerce retailers, and airlines. The company has operations in Africa, Asia, Australia, Europe, the Middle East, North America, and South America. Atlas Air Worldwide Holdings, Inc. was founded in 1992 and is headquartered in Purchase, New York.","Atlas Air Worldwide Holdings, Inc.",us_market,2664797952.0,1.0,,finmb_340272,,,1632960000.0,,500544992.0,1672444800.0,7.0,92.57,,835766976.0,0.16884,0.0,0.52,914 701 8000,91.95,2.0,1.0153295,0.70120597,0.13171,0.732,EQUITY,buy,2.0,92.57,91.415,92.57,91.95,22983.0,0.066360004,0.21566999,0.255,133.423,,Industrials,29028300.0,0.1289,3741425.0,1635465600.0,3416427.0,Atlas Air Worldwide Holdings,0.1717,6.89,,NY,,AAWW,140.0,82.0,105.57,105.0,,,,773910976.0,26.661,2621171968.0,3800306944.0,False,,,16.919,74.4423,22983.0,,,https://www.atlasairworldwide.com,,,10577-2543,5.425853,914 701 8333,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
