Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20211231|A|114489|10|230981|B,Q,N
20211231|AA|725404|1311|1546931|B,Q,N
20211231|AAA|1|0|1|Q
20211231|AAAU|17044|0|43386|Q,N
20211231|AAC|7597|0|40943|Q,N
20211231|AAC/U|100|0|600|Q
20211231|AAC/WS|5100|0|52508|Q
20211231|AACG|16260|505|27242|Q,N
20211231|AACIW|110|0|120|Q
20211231|AADI|7487|23|14148|Q,N
20211231|AADR|112|0|1117|Q,N
20211231|AAIC|18682|0|101401|Q,N
20211231|AAICpC|477|0|569|Q,N
20211231|AAIN|100|0|100|Q
20211231|AAL|4673651|49809|10291205|B,Q,N
20211231|AAME|44532|997|88687|B,Q,N
20211231|AAN|41412|0|57381|Q,N
20211231|AAOI|78684|300|296677|Q,N
20211231|AAON|6795|0|13110|Q,N
20211231|AAP|57354|0|100491|B,Q,N
20211231|AAPL|12156849|118188|27073043|B,Q,N
20211231|AAQC/WS|2620|0|56738|Q
20211231|AAT|17347|0|24048|Q,N
20211231|AATC|3634|0|7619|Q,N
20211231|AAU|215758|200|491483|Q,N
20211231|AAWW|28155|0|83144|B,Q,N
20211231|AAXJ|97256|1200|134414|B,Q,N
20211231|AB|20727|0|71698|Q,N
20211231|ABB|51941|5|175923|Q,N
20211231|ABBV|454602|16329|879099|B,Q,N
20211231|ABC|60894|0|143804|B,Q,N
20211231|ABCB|52276|20|64735|Q,N
20211231|ABCL|111631|5286|385877|B,Q,N
20211231|ABCM|12773|0|15460|Q,N
20211231|ABEO|1123837|6400|2426580|B,Q,N
20211231|ABEQ|2313|0|3151|Q
20211231|ABEV|1159010|0|1726274|B,Q,N
20211231|ABG|45319|0|74474|B,Q,N
20211231|ABGI|2|0|3|Q
20211231|ABIO|34776|99|155981|B,Q,N
20211231|ABM|29478|0|55205|B,Q,N
20211231|ABMD|22089|0|49067|Q,N
20211231|ABNB|377829|3161|1003861|B,Q,N
20211231|ABOS|6579|0|41140|B,Q,N
20211231|ABR|125498|403|364850|B,Q,N
20211231|ABRpD|196|0|247|Q,N
20211231|ABRpE|582|0|662|Q
20211231|ABSI|99924|0|132829|Q,N
20211231|ABST|27210|0|38470|Q,N
20211231|ABT|227968|14346|577979|B,Q,N
20211231|ABTX|4324|0|9040|Q,N
20211231|ABUS|313982|500|1058675|B,Q,N
20211231|ABVC|16537|0|40917|B,Q,N
20211231|AC|321|0|1863|Q,N
20211231|ACA|18240|0|45220|Q,N
20211231|ACAD|84391|0|259955|Q,N
20211231|ACAH|13700|0|43722|Q
20211231|ACAHW|1317|0|8317|Q
20211231|ACAQ|81|0|81|N
20211231|ACAQ/WS|500|0|10050|Q
20211231|ACB|1209086|2084|2347170|B,Q,N
20211231|ACBI|1615|0|1894|Q,N
20211231|ACC|42667|0|66935|Q,N
20211231|ACCD|84702|2000|197718|B,Q,N
20211231|ACCO|13892|1090|79585|Q,N
20211231|ACEL|2920|0|13608|Q,N
20211231|ACER|6404|11|21355|Q,N
20211231|ACES|58617|0|84849|Q,N
20211231|ACET|35976|0|99337|B,Q,N
20211231|ACEV|24199|0|141144|Q,N
20211231|ACEVW|800|0|6740|Q
20211231|ACGL|63758|727|356683|Q,N
20211231|ACGLN|732|0|8734|Q,N
20211231|ACGLO|3601|0|12951|Q
20211231|ACH|9955|0|36999|B,Q,N
20211231|ACHC|48047|0|61954|Q,N
20211231|ACHL|6081|0|14449|Q,N
20211231|ACHR|347593|600|697894|B,Q,N
20211231|ACHR/WS|14396|0|34221|Q
20211231|ACHV|15251|0|32611|Q,N
20211231|ACI|163460|0|287557|B,Q,N
20211231|ACII|2|0|1950|Q
20211231|ACII/WS|1024|0|1024|N
20211231|ACIO|3612|0|12045|Q,N
20211231|ACIU|40928|0|65133|Q,N
20211231|ACIW|35322|0|129391|Q,N
20211231|ACKIT|15298|0|33248|Q
20211231|ACLS|92177|0|130478|B,Q,N
20211231|ACM|33300|0|58652|Q,N
20211231|ACMR|27761|0|43245|B,Q,N
20211231|ACN|74966|500|203430|B,Q,N
20211231|ACNB|2642|0|4529|Q,N
20211231|ACOR|42130|0|89886|Q,N
20211231|ACP|29209|0|134323|Q,N
20211231|ACPpA|1205|0|1205|Q
20211231|ACQRW|5|0|5|Q
20211231|ACR|311|0|5872|Q,N
20211231|ACRE|125196|295|188589|B,Q,N
20211231|ACRS|25917|542|51759|B,Q,N
20211231|ACRX|879023|0|2086659|B,Q,N
20211231|ACRpC|663|0|3672|B,Q,N
20211231|ACRpD|4340|0|6277|Q,N
20211231|ACSI|1|0|1|N
20211231|ACST|314461|47|581620|B,Q,N
20211231|ACT|7399|0|14363|Q,N
20211231|ACTD|5001|0|5048|Q,N
20211231|ACTDW|880|0|6083|Q,N
20211231|ACTG|32973|229|100618|Q,N
20211231|ACTV|50284|0|51477|Q
20211231|ACU|2375|0|6773|B,Q,N
20211231|ACV|5213|0|8816|B,Q,N
20211231|ACVA|69324|100|95057|Q,N
20211231|ACVF|2104|0|3487|Q,N
20211231|ACWF|1309|0|1594|Q,N
20211231|ACWI|1300562|526|1513383|B,Q,N
20211231|ACWV|6076|0|25806|Q,N
20211231|ACWX|883104|2233|1260715|Q,N
20211231|ACXP|3755|0|15257|Q,N
20211231|ACY|40931|40|78197|Q,N
20211231|ADAG|303|0|2908|Q,N
20211231|ADAL|9028|0|56093|Q,N
20211231|ADAP|61951|216|288418|Q,N
20211231|ADBE|203264|206|421983|B,Q,N
20211231|ADC|29962|0|75260|Q,N
20211231|ADCT|22039|0|34661|Q,N
20211231|ADCpA|7221|0|11262|Q,N
20211231|ADERW|300|0|300|Q,N
20211231|ADES|10670|0|21026|Q,N
20211231|ADEX/WS|7542|0|10492|Q
20211231|ADFI|16408|0|30396|Q,N
20211231|ADGI|352624|1388|799646|B,Q,N
20211231|ADI|165876|58|337120|B,Q,N
20211231|ADIL|45484|5700|91177|Q,N
20211231|ADIV|201|0|464|Q,N
20211231|ADM|76435|42|176089|B,Q,N
20211231|ADMA|509967|0|1401910|B,Q,N
20211231|ADME|6016|0|12092|Q,N
20211231|ADMP|893574|5|2003094|Q,N
20211231|ADN|14467|0|47410|Q,N
20211231|ADNT|32573|503|52211|B,Q,N
20211231|ADNWW|13255|0|25699|Q,N
20211231|ADOCR|3680|0|3700|Q,N
20211231|ADOCW|6671|0|24021|Q
20211231|ADP|109265|10|166378|B,Q,N
20211231|ADPT|179630|683|463311|Q,N
20211231|ADRA|900|0|2490|Q
20211231|ADRA/WS|100|0|200|Q
20211231|ADRE|2753|0|7823|Q,N
20211231|ADS|55533|80|125978|B,Q,N
20211231|ADSE|8732|0|12179|Q,N
20211231|ADSEW|1900|0|43358|Q
20211231|ADSK|94531|0|150094|B,Q,N
20211231|ADT|110298|741|211638|B,Q,N
20211231|ADTH|202534|9530|369406|B,Q,N
20211231|ADTHW|75603|1508|131491|Q,N
20211231|ADTN|40304|0|49457|Q,N
20211231|ADTX|330070|14900|910142|B,Q,N
20211231|ADUS|9168|0|13686|Q,N
20211231|ADV|61853|0|97325|Q,N
20211231|ADVM|301719|1500|651878|Q,N
20211231|ADX|33401|0|85965|Q,N
20211231|ADXN|300|0|1885|Q
20211231|AE|865|0|1353|Q,N
20211231|AEAE|601|0|951|Q,N
20211231|AEE|21650|0|125292|Q,N
20211231|AEF|26105|0|43551|Q,N
20211231|AEFC|2630|0|11749|Q
20211231|AEG|128773|26589|195047|Q,N
20211231|AEHA|10727|0|10827|Q
20211231|AEHAU|36|0|36|N
20211231|AEHL|15872|0|39793|B,Q,N
20211231|AEHR|220282|86|404590|B,Q,N
20211231|AEI|1346169|61745|2802409|B,Q,N
20211231|AEIS|18725|0|25004|B,Q,N
20211231|AEL|30536|0|55318|Q,N
20211231|AELpA|1605|0|7346|Q
20211231|AELpB|2210|0|4679|Q
20211231|AEM|299421|202|542042|B,Q,N
20211231|AEMD|80761|0|255063|B,Q,N
20211231|AENZ|196|0|888|Q
20211231|AEO|548290|417|1143619|B,Q,N
20211231|AEP|135312|7|241545|B,Q,N
20211231|AEPPL|557|0|862|Q
20211231|AEPPZ|769|0|12775|Q,N
20211231|AER|36100|0|89828|Q,N
20211231|AERC|87703|0|236308|B,Q,N
20211231|AERI|119115|1122|276939|Q,N
20211231|AES|173967|0|448059|B,Q,N
20211231|AESC|1043|0|1043|Q,N
20211231|AESE|75858|300|191864|Q,N
20211231|AESR|30971|0|36001|Q,N
20211231|AEVA|416279|2664|687143|B,Q,N
20211231|AEVA/WS|8750|0|12545|Q,N
20211231|AEY|77666|1197|161987|B,Q,N
20211231|AEYE|5777|0|33399|Q,N
20211231|AEZS|773471|0|1641220|Q,N
20211231|AFACU|10|0|13882|Q
20211231|AFAQW|500|0|7066|Q,N
20211231|AFB|15051|0|28934|Q,N
20211231|AFBI|659|0|707|Q,N
20211231|AFCG|14262|0|26082|Q,N
20211231|AFG|32771|0|85361|B,Q,N
20211231|AFGB|1536|0|2561|Q
20211231|AFGC|1192|0|2261|Q
20211231|AFGD|259|0|499|Q
20211231|AFGE|308|0|348|Q
20211231|AFI|25953|0|65900|B,Q,N
20211231|AFIB|44258|14|131757|B,Q,N
20211231|AFIF|1124|0|5754|Q
20211231|AFIN|72665|0|146981|Q,N
20211231|AFINO|259|0|1645|Q,N
20211231|AFINP|912|0|1826|Q,N
20211231|AFK|984|0|2442|B,Q,N
20211231|AFL|197691|717|286677|Q,N
20211231|AFLG|66|0|66|Q,N
20211231|AFMC|175|0|175|Q,N
20211231|AFMD|73941|1693|211861|B,Q,N
20211231|AFRM|478196|4059|1615162|B,Q,N
20211231|AFT|11168|65|26492|Q,N
20211231|AFTR|402|0|802|Q,N
20211231|AFTY|6|0|182|Q
20211231|AFYA|26728|0|43604|Q,N
20211231|AG|284265|774|1031799|B,Q,N
20211231|AGAC|16|0|4910|Q,N
20211231|AGAC/U|1593|0|3286|Q
20211231|AGAC/WS|41240|0|45840|Q,N
20211231|AGBAR|8796|0|10936|Q,N
20211231|AGBAW|500|0|1552|Q
20211231|AGCB|1447|0|34716|Q,N
20211231|AGCO|59586|0|84501|B,Q,N
20211231|AGD|2863|0|8095|Q,N
20211231|AGE|5186004|33446|9923943|B,Q,N
20211231|AGEN|556128|5426|1315098|B,Q,N
20211231|AGFS|8293|0|70865|Q,N
20211231|AGFY|104227|0|204665|B,Q,N
20211231|AGG|1384634|39|2819972|B,Q,N
20211231|AGGRW|5800|0|10633|Q,N
20211231|AGGY|11973|0|49822|Q,N
20211231|AGI|233197|753|505755|B,Q,N
20211231|AGIL|62986|0|93966|Q,N
20211231|AGILW|2501|0|2801|Q,N
20211231|AGIO|31927|0|58137|B,Q,N
20211231|AGL|120544|2074|157056|B,Q,N
20211231|AGLE|70698|0|132710|Q,N
20211231|AGM|2343|0|3586|Q,N
20211231|AGM/A|3|0|3|N
20211231|AGMH|83226|3266|695178|B,Q,N
20211231|AGMpD|136|0|136|Q
20211231|AGMpE|28|0|813|Q
20211231|AGMpF|700|0|700|Q
20211231|AGMpG|595|0|595|Q
20211231|AGNC|999696|9858|2406400|B,Q,N
20211231|AGNCM|591|0|5623|Q,N
20211231|AGNCN|4320|800|7741|Q,N
20211231|AGNCO|2358|0|8260|Q,N
20211231|AGNCP|9841|0|73402|Q,N
20211231|AGNG|86|0|207|Q,N
20211231|AGO|32063|0|42848|Q,N
20211231|AGOV|200|0|210|Q,N
20211231|AGOX|69716|0|94069|Q,N
20211231|AGQ|74113|11118|184385|Q,N
20211231|AGR|61872|203|77749|Q,N
20211231|AGRI|8239|0|28338|B,Q,N
20211231|AGRIW|860|0|1460|Q
20211231|AGRO|46273|0|101313|Q,N
20211231|AGRX|243627|5100|764224|B,Q,N
20211231|AGS|24609|0|45383|Q,N
